"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
19942,780687.635160804,0,0,FALSE,0,"14597","ATG","Shekerley Mountains","ATG",NA,NA,NA,"no pas overlapping kba",0
19943,7298361.0202139,5780161.87753189,2005,FALSE,1,"14597","ATG","Shekerley Mountains","ATG",FALSE,"14597",TRUE,"",0.791980810694739
20748,198140.817358449,0,0,FALSE,0,"14597","ATG","Shekerley Mountains","ATG",NA,NA,NA,"no pas overlapping kba",0
20749,1168436.78310224,0,0,FALSE,0,"14597","ATG","Shekerley Mountains","ATG",NA,NA,NA,"no pas overlapping kba",0
20750,6690519.29210836,0,0,FALSE,0,"14597","ATG","Shekerley Mountains","ATG",NA,NA,NA,"no pas overlapping kba",0
20751,90217648.3460122,64072401.5426427,2005,FALSE,1,"14597","ATG","Shekerley Mountains","ATG",FALSE,"14597",TRUE,"",0.710198090033399
20751,90217648.3460122,NA,2008,FALSE,1,"14597","ATG","Shekerley Mountains","ATG",FALSE,"14597",TRUE,"",NA
20875,1878289.15649259,158891.924415171,1989,FALSE,1,"14597","ATG","Shekerley Mountains","ATG",FALSE,"14597",TRUE,"",0.0845939635364114
20875,1878289.15649259,1627700.03572243,2018,FALSE,1,"14597","ATG","Shekerley Mountains","ATG",FALSE,"14597",TRUE,"",0.866586505116128
20877,953254.733262956,0,0,FALSE,0,"14597","ATG","Shekerley Mountains","ATG",NA,NA,NA,"no pas overlapping kba",0
20878,1859508.39104873,0,0,FALSE,0,"14597","ATG","Shekerley Mountains","ATG",NA,NA,NA,"no pas overlapping kba",0
20876,11306.4545909939,0,0,FALSE,0,"14597","ATG","Shekerley Mountains","ATG",NA,NA,NA,"no pas overlapping kba",0
49024,110828036.355382,101972818.076941,2005,FALSE,1,"14597","ATG","Shekerley Mountains","ATG",FALSE,"14597",TRUE,"",0.920099475099916
49024,110828036.355382,66698.6188258994,2008,FALSE,1,"14597","ATG","Shekerley Mountains","ATG",FALSE,"14597",TRUE,"",0.000601820811947106
