"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1682,1861331512.63656,72351097.8498701,1994,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",0.0388706135144004
1682,1861331512.63656,857940518.160015,1996,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",0.460928379676304
1682,1861331512.63656,76692389.0015411,2000,FALSE,3,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",0.0412029713572661
1682,1861331512.63656,3.11340364557691,2001,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",1.67267551451208e-09
1682,1861331512.63656,4023326.10231173,2004,FALSE,3,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",0.00216153118076893
1682,1861331512.63656,499068672.864364,2008,FALSE,4,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",0.268124549268194
1682,1861331512.63656,NA,2014,FALSE,2,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",NA
1682,1861331512.63656,6607358.90448299,2015,FALSE,7,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;12800;15018;15019;15021",TRUE,"",0.00354980231067152
1937,859490203.226649,4335451.04185084,1989,FALSE,2,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.00504421228488113
1937,859490203.226649,1887760.43681545,1991,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.00219637225616828
1937,859490203.226649,5099049.25239518,1996,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.00593264383148595
1937,859490203.226649,26995.980258821,1997,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",3.14092937388631e-05
1937,859490203.226649,635076911.583809,2000,FALSE,2,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.738899535096083
1937,859490203.226649,215639.36869109,2006,FALSE,2,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.000250892177574043
1937,859490203.226649,1890169.75785923,2015,FALSE,3,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.00219917545396476
1955,125426268.978922,83365326.3904558,1991,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.664656033135014
1955,125426268.978922,865656.008929896,1997,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.00690171218499187
1955,125426268.978922,35150882.2592253,2000,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.28025135839074
1955,125426268.978922,267449.542118787,2015,FALSE,3,"12726","ESP","Sierra de Gredos","ESP",TRUE,"12726;18656",TRUE,"",0.00213232478567733
1956,736805663.692486,809388.998185569,1989,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",FALSE,"12726",TRUE,"",0.00109851082594742
1956,736805663.692486,579571.018311858,2000,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",FALSE,"12726",TRUE,"",0.000786599570105569
1956,736805663.692486,23946270.0920694,2003,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",FALSE,"12726",TRUE,"",0.0325001167500032
1956,736805663.692486,52722991.0544882,2004,FALSE,2,"12726","ESP","Sierra de Gredos","ESP",FALSE,"12726",TRUE,"",0.0715561696285939
1956,736805663.692486,31926.6295014437,2006,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",FALSE,"12726",TRUE,"",4.33311401834834e-05
1956,736805663.692486,2965617.01473749,2008,FALSE,3,"12726","ESP","Sierra de Gredos","ESP",FALSE,"12726",TRUE,"",0.00402496500892158
1956,736805663.692486,NA,2015,FALSE,1,"12726","ESP","Sierra de Gredos","ESP",FALSE,"12726",TRUE,"",NA
