"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
367,244005698.333847,226746292.754657,1999,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.929266383133495
367,244005698.333847,8929877.27959084,2000,FALSE,2,"11938","PRT;ESP","Sistema Central","PRT",0.036597003023155
367,244005698.333847,2531473.68349171,2006,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.0103746498576773
367,244005698.333847,353807.433460321,2008,FALSE,2,"11938","PRT;ESP","Sistema Central","PRT",0.00144999660203117
370,447628161.567487,144143602.720602,1976,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.322016385689063
370,447628161.567487,4233076.56200801,1980,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.00945668062345494
370,447628161.567487,290497443.566986,1988,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.648970436868255
386,156789486.311187,62794.4469555775,2000,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.000400501643528231
386,156789486.311187,681037.998650779,2008,FALSE,2,"11938","PRT;ESP","Sistema Central","PRT",0.00434364583157759
393,163430847.748211,157318075.934363,1981,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.962597196930259
393,163430847.748211,1150646.09148653,1988,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.0070405685789458
393,163430847.748211,623957.938800866,2003,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.00381787127337285
393,163430847.748211,2554322.43218719,2008,FALSE,2,"11938","PRT;ESP","Sistema Central","PRT",0.0156293776076014
19670,42152491.3862499,4531513.40263118,2008,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.107502860533395
19670,42152491.3862499,2934624.17044619,2009,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.0696192342121789
19671,998571503.968372,865369781.626259,1976,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",0.866607727325722
19671,998571503.968372,NA,2005,FALSE,1,"11938","PRT;ESP","Sistema Central","PRT",NA
