"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
15294,59397322.4059003,59394577.4443318,1938,FALSE,2,"20365","LKA","Sri Lanka","LKA",0.999953786442599
15314,17320716.2091468,8183250.19114966,1926,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.472454492778319
15339,30125983.8162965,22843649.7763728,1926,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.758270664807822
15242,73727082.3709999,515277.576980125,1988,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00698898641325872
15304,10073206.7627363,0,0,FALSE,0,"20365","LKA","Sri Lanka","LKA",0
15249,67710171.2286626,8792876.29066848,1929,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.129860494089939
15249,67710171.2286626,54548093.3301073,1954,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.805611510653164
15249,67710171.2286626,443206.534366969,1974,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00654564190762752
15307,10071347.3936868,0,0,FALSE,0,"20365","LKA","Sri Lanka","LKA",0
15308,42162770.0892286,66270.5621903874,1893,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00157177913239903
15308,42162770.0892286,27101748.8339698,1980,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.642788620781194
15308,42162770.0892286,347.340053639142,2009,FALSE,1,"20365","LKA","Sri Lanka","LKA",8.23807479689001e-06
15308,42162770.0892286,272374.398865443,2010,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00646006887804146
15323,22147251.1612933,0,0,FALSE,0,"20365","LKA","Sri Lanka","LKA",0
15318,53246294.3890692,85465.7943127786,2009,FALSE,2,"20365","LKA","Sri Lanka","LKA",0.00160510313991585
15318,53246294.3890692,129056.697006784,2011,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00242376861127218
15309,33538527.5657647,930815.67010431,1988,FALSE,2,"20365","LKA","Sri Lanka","LKA",0.0277536235983855
15324,48765683.6238505,1152.64716187111,1934,FALSE,1,"20365","LKA","Sri Lanka","LKA",2.36364401402007e-05
15324,48765683.6238505,109718.536818337,1988,FALSE,2,"20365","LKA","Sri Lanka","LKA",0.00224991282116827
15324,48765683.6238505,22004921.4135972,2010,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.451237833213415
15310,22712567.403481,0,0,FALSE,0,"20365","LKA","Sri Lanka","LKA",0
15311,28606020.9936492,7185180.63524012,1890,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.251177213245956
15311,28606020.9936492,209278.15372459,1893,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00731587779268748
15253,78917636.0959001,78896748.8843058,1954,FALSE,3,"20365","LKA","Sri Lanka","LKA",0.999735328975529
15312,74455591.9319868,132086.806647509,1980,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00177403473963604
15312,74455591.9319868,285617.568319251,2009,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.0038360794791633
15312,74455591.9319868,50150.5626978911,2010,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.000673563414064351
15244,16502364.7661029,10277356.7475083,1938,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.622780849482784
15244,16502364.7661029,1425346.60396074,1940,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.0863722638641771
15244,16502364.7661029,1885422.8326981,2008,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.114251676012574
15330,1197127.76203479,0,0,FALSE,0,"20365","LKA","Sri Lanka","LKA",0
15319,7786796.86351999,3639392.63574228,1936,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.46737993805801
15245,80370884.9383248,64916.9807173694,1938,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00080771763017398
15245,80370884.9383248,570126.773320101,1940,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00709369784540268
15245,80370884.9383248,30817778.2539711,1988,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.383444555545458
15245,80370884.9383248,27196.6539979866,2009,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.000338389380916445
15245,80370884.9383248,587004.176392386,2010,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00730369183869062
15245,80370884.9383248,8809945.58684397,2012,FALSE,2,"20365","LKA","Sri Lanka","LKA",0.109616132677954
15245,80370884.9383248,9694427.51530746,2013,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.120621136904823
15337,57025581.0760198,0,0,FALSE,0,"20365","LKA","Sri Lanka","LKA",0
15313,23100689.5151716,0,0,FALSE,0,"20365","LKA","Sri Lanka","LKA",0
15320,118289387.788442,61264324.3739227,1934,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.51791902485363
15320,118289387.788442,38666270.3493028,1940,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.32687860739001
15320,118289387.788442,11178954.0312446,2011,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.0945051305129577
15306,4045686.63067701,49040.234034799,2009,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.0121216096330705
15334,24436111.2552152,19600067.7658955,1992,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.802094390600405
15250,499941995.377002,129866784.810053,1929,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.259763704611614
15250,499941995.377002,370071398.953528,1986,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.740228671277076
15322,9960119.78205059,8726414.45799099,1935,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.876135493241467
15322,9960119.78205059,39553.4629620649,1942,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.00397118346240627
15338,73886260.4648731,116.908792033733,1934,FALSE,1,"20365","LKA","Sri Lanka","LKA",1.5822805390092e-06
15338,73886260.4648731,173224.344075058,1988,FALSE,2,"20365","LKA","Sri Lanka","LKA",0.00234447301819276
15338,73886260.4648731,73884.4798218503,2007,FALSE,1,"20365","LKA","Sri Lanka","LKA",0.000999975900214579
