"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1685,84693879.4742073,64072425.5623609,1988,FALSE,1,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",0.756517778617918
1685,84693879.4742073,6.40280815096411,2004,FALSE,1,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",7.55994198248296e-08
1685,84693879.4742073,0.0155584677081401,2015,FALSE,1,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",1.83702385635531e-10
1684,117568182.399114,47649292.7028229,1989,FALSE,1,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",0.405290714974784
1684,117568182.399114,0.473164242767872,1991,FALSE,1,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",4.02459435123015e-09
1684,117568182.399114,226944.822267969,2015,FALSE,2,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",0.00193032517503373
1904,226247180.923477,5477684.66114578,1988,FALSE,2,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",0.024211062603244
1904,226247180.923477,123899820.746582,2000,FALSE,1,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",0.547630340589695
1904,226247180.923477,6848897.15117572,2015,FALSE,3,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",0.0302717458101376
1898,269495958.345077,6877079.2779288,2015,FALSE,3,"20032","ESP","Submeseta Norte","ESP",FALSE,"20032",TRUE,"",0.0255183020931358
1683,30997290.7653287,225159.476372898,2000,FALSE,1,"20032","ESP","Submeseta Norte","ESP",TRUE,"20032;15025;15026",TRUE,"",0.00726384373645791
1935,622032526.794844,532688581.756566,2000,FALSE,2,"20032","ESP","Submeseta Norte","ESP",TRUE,"17844;20032",TRUE,"",0.856367728069396
1935,622032526.794844,13438710.3268671,2015,FALSE,3,"20032","ESP","Submeseta Norte","ESP",TRUE,"17844;20032",TRUE,"",0.0216045138284214
1897,499756749.091969,333879199.233449,2000,FALSE,1,"20032","ESP","Submeseta Norte","ESP",TRUE,"20032;15028;20997",TRUE,"",0.668083422265111
1897,499756749.091969,1031002.34325179,2015,FALSE,1,"20032","ESP","Submeseta Norte","ESP",TRUE,"20032;15028;20997",TRUE,"",0.00206300834380939
30005,32037197.1050688,0,0,FALSE,0,"20032","ESP","Submeseta Norte","ESP",NA,NA,NA,"no pas overlapping kba",0
