"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
22521,1533016.05711282,1420525.77043145,1982,FALSE,1,"11983","AUS","Tasmania","AUS",0.926621586147489
22521,1533016.05711282,8798.76240623526,2013,FALSE,1,"11983","AUS","Tasmania","AUS",0.00573951092384921
23914,4271348.24665904,75936.1064281464,2000,FALSE,1,"11983","AUS","Tasmania","AUS",0.017778018097106
23914,4271348.24665904,1642621.12432909,2003,FALSE,1,"11983","AUS","Tasmania","AUS",0.384567361280812
23914,4271348.24665904,2514887.80782211,2011,FALSE,1,"11983","AUS","Tasmania","AUS",0.588780792994156
23951,2993785.54539934,1652800.34914141,2000,FALSE,1,"11983","AUS","Tasmania","AUS",0.552077069007606
23951,2993785.54539934,1299524.11890027,2009,FALSE,2,"11983","AUS","Tasmania","AUS",0.434073883781453
23952,58062.5577932671,12218.5932716485,2009,FALSE,2,"11983","AUS","Tasmania","AUS",0.210438426001711
23952,58062.5577932671,45843.9744644305,2013,FALSE,1,"11983","AUS","Tasmania","AUS",0.789561745241381
23955,9149071.27368046,8612445.43102354,1982,FALSE,1,"11983","AUS","Tasmania","AUS",0.941346413575261
23955,9149071.27368046,109673.196076985,2013,FALSE,1,"11983","AUS","Tasmania","AUS",0.0119873583663608
23960,13382833.5720663,152999.36525619,1999,FALSE,1,"11983","AUS","Tasmania","AUS",0.0114325089998536
23960,13382833.5720663,2809921.04108746,2000,FALSE,1,"11983","AUS","Tasmania","AUS",0.20996458081587
23962,48649249.0418636,45112668.6860494,1999,FALSE,2,"11983","AUS","Tasmania","AUS",0.927304523184501
23963,1201383.29453611,1165875.34065825,2013,FALSE,1,"11983","AUS","Tasmania","AUS",0.970444108854061
23964,10476.6679680496,9641.46775621176,1999,FALSE,1,"11983","AUS","Tasmania","AUS",0.92027997695594
23987,27917597.2633134,5192226.53073167,1999,FALSE,4,"11983","AUS","Tasmania","AUS",0.185984004345345
23987,27917597.2633134,16128279.8817257,2000,FALSE,5,"11983","AUS","Tasmania","AUS",0.577710170743094
23987,27917597.2633134,448453.276485226,2011,FALSE,2,"11983","AUS","Tasmania","AUS",0.016063462491256
23987,27917597.2633134,73518.8159954697,2013,FALSE,1,"11983","AUS","Tasmania","AUS",0.00263342204209246
23988,25057346.0402699,818655.734091286,1999,FALSE,1,"11983","AUS","Tasmania","AUS",0.0326712866069541
23988,25057346.0402699,91380.8222714514,2000,FALSE,2,"11983","AUS","Tasmania","AUS",0.0036468675543129
23988,25057346.0402699,3356359.89956725,2009,FALSE,1,"11983","AUS","Tasmania","AUS",0.133947142453682
23988,25057346.0402699,14819305.4867439,2011,FALSE,6,"11983","AUS","Tasmania","AUS",0.591415605744027
23990,22736439.1867226,32581.8856603038,2005,FALSE,1,"11983","AUS","Tasmania","AUS",0.0014330249953709
23990,22736439.1867226,7145043.11900728,2011,FALSE,3,"11983","AUS","Tasmania","AUS",0.314255150524176
23990,22736439.1867226,365931.222382034,2012,FALSE,1,"11983","AUS","Tasmania","AUS",0.0160944824902805
24047,60295043.9259965,53847079.1882427,1982,FALSE,2,"11983","AUS","Tasmania","AUS",0.893059788700581
24047,60295043.9259965,17.3562362756882,1993,FALSE,1,"11983","AUS","Tasmania","AUS",2.87855106250365e-07
24047,60295043.9259965,2121381.11387916,1999,FALSE,1,"11983","AUS","Tasmania","AUS",0.0351833413784862
24047,60295043.9259965,3886946.04733434,2005,FALSE,1,"11983","AUS","Tasmania","AUS",0.064465431886989
24335,377439295.574023,17848731.379349,1999,FALSE,5,"11983","AUS","Tasmania","AUS",0.0472890120044445
24335,377439295.574023,51155437.2371352,2000,FALSE,2,"11983","AUS","Tasmania","AUS",0.135532886578056
24335,377439295.574023,202296.790630877,2002,FALSE,1,"11983","AUS","Tasmania","AUS",0.000535971725792931
24335,377439295.574023,3909855.86252427,2005,FALSE,1,"11983","AUS","Tasmania","AUS",0.0103588998505787
