"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
546,38886614.1677389,3615867.61328173,1995,TRUE,1,"18998","IRL;GBR","The Sperrins","IRL",TRUE,"18995;18998",TRUE,"",0.092984891862391
546,38886614.1677389,21342.5386064053,1996,TRUE,1,"18998","IRL;GBR","The Sperrins","IRL",TRUE,"18995;18998",TRUE,"",0.000548840238811828
546,38886614.1677389,2601151.12475786,2003,TRUE,1,"18998","IRL;GBR","The Sperrins","IRL",TRUE,"18995;18998",TRUE,"",0.0668906558317908
546,38886614.1677389,541696.998704016,2004,TRUE,1,"18998","IRL;GBR","The Sperrins","IRL",TRUE,"18995;18998",TRUE,"",0.0139301662100842
2530,50075558.2121426,9967731.40752153,1994,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",0.199053825127495
2530,50075558.2121426,9749192.23645061,1995,FALSE,2,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",0.19468963671156
2530,50075558.2121426,2191432.45911241,1996,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",0.0437625168316349
2530,50075558.2121426,12064437.0682392,1998,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",0.24092466462638
2530,50075558.2121426,1304022.41385773,1999,FALSE,2,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",0.0260410959041795
2530,50075558.2121426,2495183.49591851,2003,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",0.0498283710657362
2530,50075558.2121426,972799.507199003,2004,FALSE,2,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",0.0194266333103624
2530,50075558.2121426,0.0262730529066175,2005,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",5.246681983117e-10
2530,50075558.2121426,1.64342278071845,2006,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",3.28188609252476e-08
2530,50075558.2121426,0.0257653080580198,2007,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",5.14528623902032e-10
2530,50075558.2121426,0.00350019456521977,2009,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",6.98982635478844e-11
2530,50075558.2121426,2565.5664095164,2011,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18995;18998",TRUE,"",5.12339053445497e-05
2531,508916723.16224,501391325.840532,1976,FALSE,1,"18998","IRL;GBR","The Sperrins","GBR",TRUE,"18992;18998",TRUE,"",0.985212910130075
