"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
2718,3321392.03745238,1016853.58663988,1976,FALSE,1,"10055","ITA;CHE","Bernina Range","ITA",TRUE,"10055","",0.30615283446631
2718,3321392.03745238,715256.815191686,1985,FALSE,1,"10055","ITA;CHE","Bernina Range","ITA",TRUE,"10055","",0.215348506628056
2718,3321392.03745238,34376.3372738492,1988,FALSE,1,"10055","ITA;CHE","Bernina Range","ITA",TRUE,"10055","",0.010349978830026
2718,3321392.03745238,722978.7212044,2014,FALSE,1,"10055","ITA;CHE","Bernina Range","ITA",TRUE,"10055","",0.217673407129304
3288,56673975.5030587,66756.412275034,1991,FALSE,3,"10055","ITA;CHE","Bernina Range","CHE",TRUE,"10055","",0.00117790240904189
3288,56673975.5030587,70007.883141025,1994,FALSE,2,"10055","ITA;CHE","Bernina Range","CHE",TRUE,"10055","",0.00123527390693188
3288,56673975.5030587,177303.0624035,2001,FALSE,2,"10055","ITA;CHE","Bernina Range","CHE",TRUE,"10055","",0.00312847406291325
3288,56673975.5030587,333863.107755175,2010,FALSE,12,"10055","ITA;CHE","Bernina Range","CHE",TRUE,"10055","",0.00589094209099829
3288,56673975.5030587,502832.253775775,2017,FALSE,2,"10055","ITA;CHE","Bernina Range","CHE",TRUE,"10055","",0.00887236600772143
3288,56673975.5030587,487722.480477697,2018,FALSE,8,"10055","ITA;CHE","Bernina Range","CHE",TRUE,"10055","",0.00860575733656401
24105,515469285.255356,171972.30659901,1992,FALSE,1,"10055","ITA;CHE","Bernina Range","ITA",FALSE,"10055","",0.000333622800655944
24105,515469285.255356,275639458.38777,2007,FALSE,6,"10055","ITA;CHE","Bernina Range","ITA",FALSE,"10055","",0.534734980865488
24105,515469285.255356,7527053.39147451,2014,FALSE,7,"10055","ITA;CHE","Bernina Range","ITA",FALSE,"10055","",0.0146023315196088
24105,515469285.255356,2535.05708267354,2016,FALSE,2,"10055","ITA;CHE","Bernina Range","ITA",FALSE,"10055","",4.91795952772958e-06
