"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
8168,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
8170,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
8310,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
8311,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
31737,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
31706,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
31682,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
46614,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
46642,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
31734,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
31729,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
46659,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
20603,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
20611,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
20613,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
20619,NA,0,0,FALSE,0,0,11437,"SYR;LBN","Anti-Lebanon Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
