"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
31739,39008696.5052727,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","SYR",NA,NA,"no pas overlapping kba",0
46642,501003144.418836,146677222.40906,1996,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",TRUE,"11438","",0.292767069514515
46642,501003144.418836,170284.768781992,1999,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",TRUE,"11438","",0.000339887624816252
20608,20919119.2458173,752603.284466833,1999,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.035976815066787
20703,101510654.11555,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
31734,29513730.4179516,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
46600,660883831.788184,5124776.68857225,1995,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.00775442890576685
46658,465322305.395406,101966.698752761,1943,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.000219131336646575
46658,465322305.395406,17020944.3228872,1992,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.0365788274611589
46658,465322305.395406,2323163.67122304,1999,FALSE,2,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.00499259039226358
46597,18367817.6066451,4381300.71590436,1999,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.238531370995283
24245,219530939.756667,270359.495937735,2010,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.00123153254041279
31769,2320414.7130831,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
46641,389011.485120986,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
46601,3170050.23472205,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
31741,3583707.83668298,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","SYR",NA,NA,"no pas overlapping kba",0
8212,6597721.64584167,5382065.38921578,1992,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.815746052670761
8213,194834552.480749,137337678.200221,1996,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.704893851996767
8214,84759.3103737831,80319.6132395566,1999,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.947619947417602
20611,2069243.59823465,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
20613,3453069.68405721,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
20617,8866896.05235672,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
20621,2399983.26386464,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
20629,7980724.33217525,1912429.30227643,1999,FALSE,1,"11438","SYR;LBN","Jebel Liban","LBN",FALSE,"11438","",0.239631043834736
24657,97185178.9353714,0,0,FALSE,0,"11438","SYR;LBN","Jebel Liban","LBN",NA,NA,"no pas overlapping kba",0
