"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
28557,2600854.10687905,1570651.83397651,1990,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",FALSE,"11582","",0.60389847697426
28557,2600854.10687905,NA,1998,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",FALSE,"11582","",NA
28560,3985991.48199324,843132.399380259,1987,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.21152388387911
28560,3985991.48199324,1996472.80393001,1990,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.500872320713452
28560,3985991.48199324,424596.10172915,1998,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.10652207954966
28560,3985991.48199324,NA,2006,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",NA
44625,5793886.70216505,244131.037188337,1978,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.0421359701592216
44625,5793886.70216505,344399.855117978,1987,FALSE,2,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.0594419381706727
44625,5793886.70216505,80559.8561002298,1990,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.0139042857137897
44625,5793886.70216505,4510488.24736765,2006,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.778490930049111
44630,11823506.9688394,10397604.233762,1978,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.87940103229648
44630,11823506.9688394,1425917.42536723,1990,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.120600210168202
28555,2905362.75757219,203900.393553476,1997,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.070180700507038
28555,2905362.75757219,860555.415136608,1998,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.296195513931525
28555,2905362.75757219,208954.577000052,1999,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.0719203054611538
28555,2905362.75757219,7558.34778860817,2009,FALSE,1,"11582","NZL","Livingstone Mountains","NZL",TRUE,"11582","",0.00260151603062613
