"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
26103,440378959.987973,114570114.51652,1961,FALSE,1,"11611","USA","Mauna Loa","USA",FALSE,"11611","",0.26016255299674
26103,440378959.987973,14372533.1101871,2002,FALSE,1,"11611","USA","Mauna Loa","USA",FALSE,"11611","",0.0326367388455152
26098,442632738.747619,125584982.053906,1961,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.283722759435363
26098,442632738.747619,2605741.47413087,1974,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.00588691537255814
26098,442632738.747619,638.178639565594,1978,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",1.44177911776533e-06
26098,442632738.747619,2783054.10363495,1981,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.00628750171419606
26098,442632738.747619,9346352.70040163,1987,FALSE,2,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.0211153669447183
26098,442632738.747619,37413367.831225,1993,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.0845246285601964
26098,442632738.747619,10785906.1013974,2010,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.0243676193765398
26096,13193162.1123193,0,0,FALSE,0,"11611","USA","Mauna Loa","USA",NA,NA,"no pas overlapping kba",0
26094,397109410.514052,3121.91224847706,1961,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",7.86159221066e-06
26094,397109410.514052,23022533.9545236,1983,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.0579752918086762
26094,397109410.514052,16226163.5326379,1999,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.0408606875158998
26094,397109410.514052,16498503.7383287,2000,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",0.0415464939926042
26094,397109410.514052,1878.57912919065,2014,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611","",4.73063362250433e-06
