"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
18238,658768731.303586,20927545.9382546,1984,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.03176766738282
18238,658768731.303586,310304762.385416,2012,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.471037478921288
24927,196758430.144085,1519701.44508301,1984,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.0077236916556518
24927,196758430.144085,57259922.9778339,2012,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.291016364258969
18384,1372190.16325107,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
24945,3051533.93707976,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
18386,10975877.3800067,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
24953,3012137.49269551,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
24965,3045581.49406198,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
45255,91401280.2598336,1596269.97913615,2012,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.0174644159753376
18396,57263794.6268255,42846788.7101748,1942,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.748235232914569
18396,57263794.6268255,13031437.7711707,1974,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.227568533592534
18397,81090369.1067936,613.890147188911,1984,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",7.57044460335896e-06
18397,81090369.1067936,81086637.1924456,2012,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.999953978328265
45256,438688819.979734,126620007.024939,1942,FALSE,1,"11673","IND","Nilgiri Mountains","IND",TRUE,"11673","",0.288632856043126
45256,438688819.979734,10285258.815656,1974,FALSE,1,"11673","IND","Nilgiri Mountains","IND",TRUE,"11673","",0.0234454546075078
45258,58057631.9935071,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
18257,91715983.611476,83513252.0356322,1984,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.91056377249802
18257,91715983.611476,8202731.35201272,2012,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",0.0894362250614989
45259,264293984.992939,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
45261,17023389.335577,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
25013,10621550.390621,4857797.40806437,1942,FALSE,1,"11673","IND","Nilgiri Mountains","IND",TRUE,"11673","",0.457352950314475
18404,6930891.74415311,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
18398,21043507.6276139,1594.6978071928,2012,FALSE,1,"11673","IND","Nilgiri Mountains","IND",FALSE,"11673","",7.57809883890363e-05
46912,279642963.020985,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
46907,611312860.790117,0,0,FALSE,0,"11673","IND","Nilgiri Mountains","IND",NA,NA,"no pas overlapping kba",0
18203,121470953.283188,20148855.6357733,1942,FALSE,1,"11673","IND","Nilgiri Mountains","IND",TRUE,"11673","",0.16587385783332
18203,121470953.283188,82681160.4127132,1974,FALSE,1,"11673","IND","Nilgiri Mountains","IND",TRUE,"11673","",0.680666103113203
