"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
15845,12231823.1002306,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15846,12891024.0189577,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15847,52690906.0474726,35998185.8357443,2014,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.683195422817577
15848,161625960.062767,117561549.658237,2014,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.727367989725057
15850,100471.11429134,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15851,46140645.106759,119918.569167823,2008,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.0025989790322688
15851,46140645.106759,32150580.5618398,2012,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.696795211411776
15852,65475768.2522004,2822080.35160112,1974,FALSE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.0431011414899478
15852,65475768.2522004,22787434.9363065,2014,FALSE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.348028523293282
15852,65475768.2522004,13827.731484009,2016,FALSE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.000211188533607534
15853,243383471.08186,270389.281352296,1985,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.00111095991913664
15853,243383471.08186,76612517.415884,2006,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.314781102740194
15853,243383471.08186,32660440.8401123,2007,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.134193339814466
15854,288405348.269017,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15855,8817999.31203879,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15856,8588754.77943516,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15857,9848230.30148166,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15859,475416908.67872,366465384.799467,2009,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.770829514284523
15860,53378164.2748483,43279853.505419,2009,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.810815697643097
15862,19185750.5945122,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15863,4207860.38766231,1185764.45037583,2009,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.281797479272971
15868,23852981.8530492,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15869,50455634.3189629,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15870,2456391.42776329,521267.063407247,2009,TRUE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.212208468697473
15872,123914380.442464,0,0,FALSE,0,"11709","IDN","Parahyangan Highlands","IDN",NA,NA,"no pas overlapping kba",0
15861,222098512.921378,169411469.146676,1980,FALSE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.762776242480503
15861,222098512.921378,1737167.94144225,2012,FALSE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.00782160996304014
15871,152922238.899479,149700694.53402,1991,FALSE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.978933447557115
15871,152922238.899479,1942853.78847679,2006,FALSE,1,"11709","IDN","Parahyangan Highlands","IDN",FALSE,"11709","",0.0127048479178617
