"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
18053,42287611.0093995,0,0,FALSE,0,"11711","IND;MMR","Patkai Hills","IND",NA,NA,"no pas overlapping kba",0
18105,76010885.1499274,0,0,FALSE,0,"11711","IND;MMR","Patkai Hills","IND",NA,NA,"no pas overlapping kba",0
18107,24305114.5694805,0,0,FALSE,0,"11711","IND;MMR","Patkai Hills","IND",NA,NA,"no pas overlapping kba",0
31545,3103709739.66134,2791420.90369279,2004,FALSE,1,"11711","IND;MMR","Patkai Hills","MMR",TRUE,"11711","",0.000899382074303565
31545,3103709739.66134,3082763560.81248,2010,FALSE,1,"11711","IND;MMR","Patkai Hills","MMR",TRUE,"11711","",0.99325124428319
16259,2221864019.11986,2217436947.74027,2004,FALSE,1,"11711","IND;MMR","Patkai Hills","MMR",TRUE,"11711","",0.998007496704798
24985,37116576.6473079,310018.60346055,2010,FALSE,1,"11711","IND;MMR","Patkai Hills","IND",FALSE,"11711","",0.00835256458068409
46928,3835066.52865595,0,0,FALSE,0,"11711","IND;MMR","Patkai Hills","IND",NA,NA,"no pas overlapping kba",0
46970,709963055.395541,18510352.5327996,2010,FALSE,1,"11711","IND;MMR","Patkai Hills","IND",TRUE,"11711","",0.0260722757221316
18052,709916212.750055,18511443.9811887,2010,FALSE,1,"11711","IND;MMR","Patkai Hills","IND",TRUE,"11711","",0.0260755334907474
