"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
1945,5748384.26322783,5255782.14352204,2000,FALSE,1,"11775","ESP;MAR","Rif","ESP",FALSE,"11775","",0.914305986317416
1945,5748384.26322783,NA,2006,FALSE,1,"11775","ESP;MAR","Rif","ESP",FALSE,"11775","",NA
28513,938837.599872947,63146.5668282509,2000,FALSE,1,"11775","ESP;MAR","Rif","ESP",TRUE,"11775","",0.0672603726531581
28513,938837.599872947,NA,2006,FALSE,1,"11775","ESP;MAR","Rif","ESP",TRUE,"11775","",NA
6482,16761323.451223,0,0,FALSE,0,"11775","ESP;MAR","Rif","MAR",NA,NA,"no pas overlapping kba",0
6484,8438153.27727094,0,0,FALSE,0,"11775","ESP;MAR","Rif","MAR",NA,NA,"no pas overlapping kba",0
6478,25993443.6905703,1282827.53206303,2019,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775","",0.0493519653391831
31896,271002547.450435,269861194.740139,2004,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775","",0.99578840597244
6481,782674046.774581,582556115.960689,2004,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775","",0.744315105836736
31940,97016294.9607584,0,0,FALSE,0,"11775","ESP;MAR","Rif","MAR",NA,NA,"no pas overlapping kba",0
6483,139309.24156405,0,0,FALSE,0,"11775","ESP;MAR","Rif","MAR",NA,NA,"no pas overlapping kba",0
46604,37322922.3222818,0,0,FALSE,0,"11775","ESP;MAR","Rif","MAR",NA,NA,"no pas overlapping kba",0
