"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
6690,1292409897.292,3997638.29215069,1950,FALSE,1,"12169","MOZ;ZWE","Chimanimani Mountains","MOZ",FALSE,"12169","",0.00309316595340765
6690,1292409897.292,230817.200585134,1980,FALSE,1,"12169","MOZ;ZWE","Chimanimani Mountains","MOZ",FALSE,"12169","",0.00017859442354068
6690,1292409897.292,611266784.143973,2002,FALSE,3,"12169","MOZ;ZWE","Chimanimani Mountains","MOZ",FALSE,"12169","",0.472966653555321
6690,1292409897.292,657679912.865538,2003,FALSE,1,"12169","MOZ;ZWE","Chimanimani Mountains","MOZ",FALSE,"12169","",0.508878734404295
7211,286438.35875833,0,0,FALSE,0,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",NA,NA,"no pas overlapping kba",0
7212,17577603.5513405,17576271.4652101,1949,TRUE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.999924216852059
7213,210106793.415937,148.826092146538,1939,TRUE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",7.08335459919733e-07
7213,210106793.415937,203635473.630353,1950,TRUE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.969199854605496
7213,210106793.415937,1028413.13958637,2002,TRUE,3,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.00489471626721979
7213,210106793.415937,352914.219492108,2003,TRUE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.00167968971280935
7213,210106793.415937,125447.007457865,2011,TRUE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.000597063071680528
7214,4673810.73203968,1773691.38817331,1950,FALSE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.379495766915504
7214,4673810.73203968,2883182.22994091,2002,FALSE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.616880399151865
7215,9539542.75747213,54.0880874328363,1939,FALSE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",5.6698825937407e-06
7215,9539542.75747213,9539028.81306273,1951,FALSE,1,"12169","MOZ;ZWE","Chimanimani Mountains","ZWE",FALSE,"12169","",0.999946124838217
