"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
6774,159068952.004711,6219468.07444726,1925,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","RWA",FALSE,"12703","",0.0390991956385245
6774,159068952.004711,148641014.882794,1929,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","RWA",FALSE,"12703","",0.934443918876083
6774,159068952.004711,137225.612087489,1930,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","RWA",FALSE,"12703","",0.000862680053888989
6774,159068952.004711,NA,1979,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","RWA",FALSE,"12703","",NA
6774,159068952.004711,NA,1996,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","RWA",FALSE,"12703","",NA
7041,41025288.3922896,3343119.0396021,1929,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","UGA",FALSE,"12703","",0.081489227025895
7041,41025288.3922896,36907588.3188363,1930,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","UGA",FALSE,"12703","",0.89963019798717
46982,87232799.3456102,28711.5608636773,1929,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","RWA",TRUE,"12703","",0.000329137217641316
29694,57195945.1175132,613920.964992353,1930,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","UGA",TRUE,"12703","",0.0107336449066627
6066,531692205.074825,522054753.194667,1925,FALSE,1,"12703","RWA;UGA;COD","Virunga Mountains","COD",TRUE,"12703","",0.981874001935384
