"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
16028,79712169.2960328,7062854.65376275,1980,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","MYS",FALSE,"12948","",0.0886044717655709
23523,175191036.814728,175191035.308409,1978,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.999999991401848
15188,181573707.274571,181573706.429792,1980,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.999999995347461
15130,1871330.26973313,1871330.138898,1981,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.999999930084426
15121,572251903.332867,572251903.018297,1974,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.999999999450295
23521,377947649.480812,377947643.107707,1991,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.9999999831376
15128,57713967.8473725,57713967.3432381,1993,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.999999991264951
15187,1076510476.608,1076510475.3668,1975,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.999999998847018
23502,467262125.495092,0.0473574337745553,1975,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",1.01350893193788e-10
23502,467262125.495092,467262126.664125,1982,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",1.00000000250188
23522,177657277.886119,177657277.886119,1976,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",1
23514,210234436.198536,210234434.869373,1991,FALSE,1,"12948","MYS;THA","Nakhon Si Thammarat Range","THA",FALSE,"12948","",0.999999993677712
47069,228669030.128524,0,0,FALSE,0,"12948","MYS;THA","Nakhon Si Thammarat Range","MYS",NA,NA,"no pas overlapping kba",0
