"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
24007,47941799.571635,6444760.12791261,1981,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.134428832156849
24007,47941799.571635,125099.073918063,2003,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.00260939462089109
24007,47941799.571635,38713288.5847133,2013,FALSE,2,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.807505953690111
24007,47941799.571635,7060.69005601921,2014,FALSE,5,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.000147276283308245
31982,1920350014.23893,95079331.0466949,1949,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.0495114590265863
31982,1920350014.23893,188765.646502071,1964,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",9.82975213385162e-05
31982,1920350014.23893,1234257.97679821,1965,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.000642725527974842
31982,1920350014.23893,13468486.9782023,1969,FALSE,2,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.00701355840254994
31982,1920350014.23893,67642.0695316792,1970,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",3.52238232770744e-05
31982,1920350014.23893,758355.971035186,1971,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.000394905077414098
31982,1920350014.23893,1760941639.79274,1981,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.916989937634174
31982,1920350014.23893,NA,1986,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",NA
31982,1920350014.23893,NA,1999,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",NA
31982,1920350014.23893,NA,2007,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",NA
31982,1920350014.23893,20726250.0963532,2013,FALSE,4,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.0107929543795002
3603,1897603696.70674,95079331.0466949,1949,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.0501049461548286
3603,1897603696.70674,181562.618673822,1964,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",9.56799457067463e-05
3603,1897603696.70674,1234257.97679821,1965,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.000650429791499798
3603,1897603696.70674,13468486.9782023,1969,FALSE,2,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.00709762897362429
3603,1897603696.70674,67642.0695316792,1970,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",3.5646046457999e-05
3603,1897603696.70674,758355.971035186,1971,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.000399638750889504
3603,1897603696.70674,1756739946.85656,1981,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.925767561427792
24009,10648855.6145564,605746.677442451,1981,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.0568837346817273
24009,10648855.6145564,8682406.87825747,2013,FALSE,2,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.815337083394113
24009,10648855.6145564,8.39012269428122e-05,2014,FALSE,2,"12964","HRV","Velebit","HRV",TRUE,"12964","",7.87889609735374e-12
3605,4399727.31328877,1195844.38163809,1981,FALSE,1,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.271799658589342
3605,4399727.31328877,3203365.14076172,2013,FALSE,2,"12964","HRV","Velebit","HRV",TRUE,"12964","",0.728082654369602
