"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
18064,654551619.053311,73275296.9263572,2004,FALSE,1,"13909","IND","Barail Range","IND",TRUE,"13909","",0.111947315984546
18074,3324786.35304353,26414.9998134077,1975,FALSE,1,"13909","IND","Barail Range","IND",FALSE,"13909","",0.00794487134165094
18084,4048132.95461015,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
18293,156814651.956531,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
18294,57122564.5812784,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
18295,149415.18184343,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
18325,38121526.4958817,37834979.410256,1975,FALSE,1,"13909","IND","Barail Range","IND",FALSE,"13909","",0.992483326037411
18326,26945030.6581911,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
18327,36066369.5639645,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
18331,72917569.7987857,9570197.12180332,1980,FALSE,1,"13909","IND","Barail Range","IND",TRUE,"13909","",0.131246792072364
24963,35328404.5140546,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
46928,73173110.708698,0,0,FALSE,0,"13909","IND","Barail Range","IND",NA,NA,"no pas overlapping kba",0
46966,658624235.994836,77080597.1813356,2004,FALSE,1,"13909","IND","Barail Range","IND",TRUE,"13909","",0.117032737285939
46873,745068.027055725,297271.873313262,2004,FALSE,1,"13909","IND","Barail Range","IND",TRUE,"13909","",0.398986216719012
