"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
22258,252197435.527146,247621832.522309,1989,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","BRA",TRUE,"14251","",0.98185705974657
14943,143839572.647606,69813546.5305023,1961,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",FALSE,"14251","",0.485357021336119
14943,143839572.647606,11327549.8515379,1962,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",FALSE,"14251","",0.0787512757653231
14943,143839572.647606,NA,1987,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",FALSE,"14251","",NA
14943,143839572.647606,242501.689610874,1989,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",FALSE,"14251","",0.00168591775647847
14943,143839572.647606,30715075.2489935,1991,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",FALSE,"14251","",0.213537030760253
14943,143839572.647606,114223.155008481,1994,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",FALSE,"14251","",0.000794101045393938
14943,143839572.647606,18434.8129779785,2006,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",FALSE,"14251","",0.000128162317494798
14924,333163422.418019,313165771.876075,1961,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",TRUE,"14251","",0.939976452406432
14924,333163422.418019,19992915.0045924,1962,FALSE,1,"14251","BRA;VEN","Tepuis Orientales","VEN",TRUE,"14251","",0.0600093337362447
