"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
23213,52273358.2503212,1151570.68199239,2006,FALSE,1,"14463","CHN","Daxiang Ling","CHN",TRUE,"14463","",0.0220297819106604
15539,40824519.9294293,0,0,FALSE,0,"14463","CHN","Daxiang Ling","CHN",NA,NA,"no pas overlapping kba",0
15535,529648.598589718,0,0,FALSE,0,"14463","CHN","Daxiang Ling","CHN",NA,NA,"no pas overlapping kba",0
15537,291559467.780076,0,0,FALSE,0,"14463","CHN","Daxiang Ling","CHN",NA,NA,"no pas overlapping kba",0
23200,114901469.66604,0,0,FALSE,0,"14463","CHN","Daxiang Ling","CHN",NA,NA,"no pas overlapping kba",0
23186,159888542.964451,0,0,FALSE,0,"14463","CHN","Daxiang Ling","CHN",NA,NA,"no pas overlapping kba",0
23177,66003.2832612693,0,0,FALSE,0,"14463","CHN","Daxiang Ling","CHN",NA,NA,"no pas overlapping kba",0
23274,409812265.920309,0,0,FALSE,0,"14463","CHN","Daxiang Ling","CHN",NA,NA,"no pas overlapping kba",0
23231,430338449.941875,22859562.7365757,2006,FALSE,1,"14463","CHN","Daxiang Ling","CHN",TRUE,"14463","",0.053119963460535
15536,91145202.2988915,15016978.4063437,2006,FALSE,1,"14463","CHN","Daxiang Ling","CHN",TRUE,"14463","",0.164758846626931
