"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
15196,650828636.62604,611439985.642013,1993,FALSE,1,"14522","BTN;IND","Dongkya Range","BTN",FALSE,"14522","",0.939479228836301
15196,650828636.62604,3133011.61983766,1999,FALSE,1,"14522","BTN;IND","Dongkya Range","BTN",FALSE,"14522","",0.00481388101801958
15197,115906.333130579,96129.3480866831,1974,FALSE,1,"14522","BTN;IND","Dongkya Range","BTN",TRUE,"14522","",0.829370971285791
15207,65256458.5903182,342711.481289297,1993,FALSE,1,"14522","BTN;IND","Dongkya Range","BTN",TRUE,"14522","",0.00525176340691194
15207,65256458.5903182,5106863.74231052,1999,FALSE,1,"14522","BTN;IND","Dongkya Range","BTN",TRUE,"14522","",0.0782583648060271
15209,43522028.9398518,0,0,FALSE,0,"14522","BTN;IND","Dongkya Range","BTN",NA,NA,"no pas overlapping kba",0
15210,27796034.4134927,0,0,FALSE,0,"14522","BTN;IND","Dongkya Range","BTN",NA,NA,"no pas overlapping kba",0
15214,2549347.12693262,0,0,FALSE,0,"14522","BTN;IND","Dongkya Range","BTN",NA,NA,"no pas overlapping kba",0
15215,374698323.27224,1017978.97608757,1993,FALSE,1,"14522","BTN;IND","Dongkya Range","BTN",TRUE,"14522","",0.00271679618739033
15217,326491.825040728,0,0,FALSE,0,"14522","BTN;IND","Dongkya Range","BTN",NA,NA,"no pas overlapping kba",0
18370,236429895.414259,5382231.61129928,1953,TRUE,1,"14522","BTN;IND","Dongkya Range","IND",TRUE,"14522","",0.0227645983680229
18371,112260037.987834,21009029.5249258,1984,FALSE,1,"14522","BTN;IND","Dongkya Range","IND",FALSE,"14522","",0.187146110953593
18372,63820.1232123002,0,0,FALSE,0,"14522","BTN;IND","Dongkya Range","IND",NA,NA,"no pas overlapping kba",0
18373,42527943.1596963,11837446.7959028,1977,FALSE,1,"14522","BTN;IND","Dongkya Range","IND",FALSE,"14522","",0.278345151832342
18375,1088892.9359847,0,0,FALSE,0,"14522","BTN;IND","Dongkya Range","IND",NA,NA,"no pas overlapping kba",0
18377,156753229.983712,102858.770143986,1992,FALSE,1,"14522","BTN;IND","Dongkya Range","IND",FALSE,"14522","",0.000656182779485141
18377,156753229.983712,5204246.64964271,1993,FALSE,1,"14522","BTN;IND","Dongkya Range","IND",FALSE,"14522","",0.0332002514409653
18378,504043807.654208,0,0,FALSE,0,"14522","BTN;IND","Dongkya Range","IND",NA,NA,"no pas overlapping kba",0
18379,69330715.0966403,36705053.9679166,1953,TRUE,1,"14522","BTN;IND","Dongkya Range","IND",FALSE,"14522","",0.529419809340684
18460,99623184.7419623,33911623.1572189,1992,FALSE,1,"14522","BTN;IND","Dongkya Range","IND",TRUE,"14522","",0.340398906590415
