"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
15204,160431733.938184,122207419.935937,1974,FALSE,1,"14524","BTN;IND","Tawang Range","BTN",TRUE,"14524","",0.761740940748199
15204,160431733.938184,6195428.87897387,1999,FALSE,1,"14524","BTN;IND","Tawang Range","BTN",TRUE,"14524","",0.0386172281935257
15208,8724107.61748785,0,0,FALSE,0,"14524","BTN;IND","Tawang Range","BTN",NA,NA,"no pas overlapping kba",0
15211,11326756.2521906,0,0,FALSE,0,"14524","BTN;IND","Tawang Range","BTN",NA,NA,"no pas overlapping kba",0
15218,35383425.1947207,0,0,FALSE,0,"14524","BTN;IND","Tawang Range","BTN",NA,NA,"no pas overlapping kba",0
18057,51683313.1538447,3412482.88973861,1993,FALSE,1,"14524","BTN;IND","Tawang Range","IND",TRUE,"14524","",0.0660267827563752
23444,633837656.093104,534110949.941035,1993,FALSE,1,"14524","BTN;IND","Tawang Range","BTN",TRUE,"14524","",0.842662067812802
23444,633837656.093104,16896203.0760966,1999,FALSE,1,"14524","BTN;IND","Tawang Range","BTN",TRUE,"14524","",0.0266569884475509
46869,12532888.5578864,985564.006065245,1993,FALSE,1,"14524","BTN;IND","Tawang Range","IND",TRUE,"14524","",0.0786382166819054
46969,35470999.0249945,1142329.93327137,1993,FALSE,1,"14524","BTN;IND","Tawang Range","IND",TRUE,"14524","",0.0322046168608455
