"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
10167,455997736.790929,447706307.867035,2000,FALSE,2,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",0.981816951587865
10191,582742817.242767,158556522.423612,1980,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",FALSE,"14557","",0.272086618199463
10191,582742817.242767,119738299.986231,2000,FALSE,2,"14557","MEX;GTM","Los Altos de Chiapas","MEX",FALSE,"14557","",0.205473660838532
10191,582742817.242767,32830702.430021,2004,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",FALSE,"14557","",0.0563382361113581
10191,582742817.242767,44805455.1544329,2006,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",FALSE,"14557","",0.076887185613765
10199,6320696.33147057,452889.257073797,1990,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",FALSE,"14557","",0.0716517980493499
10199,6320696.33147057,2473122.54035772,1997,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",FALSE,"14557","",0.391273747489515
10165,177879732.556223,1968984.43460029,1959,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",0.0110691893129418
10165,177879732.556223,0.139631986618042,2003,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",7.84979742275632e-10
20360,29088113.9851282,42.6709676485043,1959,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","GTM",TRUE,"14557","",1.46695546058162e-06
20360,29088113.9851282,0.0867340234399308,2003,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","GTM",TRUE,"14557","",2.98176854932139e-09
47099,127134428.334419,0,0,FALSE,0,"14557","MEX;GTM","Los Altos de Chiapas","MEX",NA,NA,"no pas overlapping kba",0
10164,1471695998.17476,29101766.8416844,1972,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",0.0197743058877494
10164,1471695998.17476,16927231.3935579,1990,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",0.011501853245882
10164,1471695998.17476,13609.7314128926,1995,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",9.24765130147248e-06
10164,1471695998.17476,446395.052896038,1996,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",0.000303320151342173
10164,1471695998.17476,1024567.38529602,2007,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",0.000696181403337863
23565,284452.996699616,1395.82102551963,2000,FALSE,1,"14557","MEX;GTM","Los Altos de Chiapas","MEX",TRUE,"14557","",0.00490703575534353
