"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
405,104981224.947032,7758731.41439134,1980,FALSE,2,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0739058952522798
405,104981224.947032,4400034.78990589,2000,FALSE,2,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0419125876281776
405,104981224.947032,3991624.89498637,2001,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.038022273954227
405,104981224.947032,88760622.4616535,2007,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.845490443709698
423,94609341.1501444,8062.12493671884,1965,FALSE,4,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",8.52148935687471e-05
423,94609341.1501444,94303308.9335231,2007,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.996765306544777
424,2208186.57726181,2195070.73833409,2007,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",TRUE,"14806","",0.994060357461287
425,35494150.1087247,750771.985534366,1981,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0211519921799683
425,35494150.1087247,1833203.05489437,1995,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0516480335288759
425,35494150.1087247,705199.23066119,2000,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0198680410293258
425,35494150.1087247,1782737.0789941,2001,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0502262224488618
425,35494150.1087247,30366392.1177361,2007,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.855532306724308
18993,93068577.9058061,7861454.58634324,1995,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0844694822166483
18993,93068577.9058061,5209207.03188403,2001,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.0559717054789021
18993,93068577.9058061,79943410.8539775,2007,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.858973164228292
19033,160275641.690084,5480.81493321233,1979,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",3.41961814996835e-05
19033,160275641.690084,115972.385345036,1984,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.000723580851850747
19033,160275641.690084,159965465.746814,2007,FALSE,1,"14806","BGR","Eastern Rhodopes","BGR",FALSE,"14806","",0.998064734353901
