"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
1019,490830207.53483,1330724.94273793,1985,FALSE,1,"14812","GRC;ALB","Grammos","GRC",TRUE,"14812","",0.00271117164817835
1019,490830207.53483,40298575.5799062,1986,FALSE,2,"14812","GRC;ALB","Grammos","GRC",TRUE,"14812","",0.0821028839734697
1019,490830207.53483,17989786.1286849,1995,FALSE,1,"14812","GRC;ALB","Grammos","GRC",TRUE,"14812","",0.0366517501419435
1019,490830207.53483,271770143.490454,2002,FALSE,1,"14812","GRC;ALB","Grammos","GRC",TRUE,"14812","",0.553694820160735
1019,490830207.53483,NA,2006,FALSE,1,"14812","GRC;ALB","Grammos","GRC",TRUE,"14812","",NA
46624,99676981.8913006,2559828.37779519,2002,FALSE,1,"14812","GRC;ALB","Grammos","ALB",FALSE,"14812","",0.0256812388299109
46624,99676981.8913006,NA,2006,FALSE,1,"14812","GRC;ALB","Grammos","ALB",FALSE,"14812","",NA
46627,18036351.1917778,265681.842808914,2008,FALSE,1,"14812","GRC;ALB","Grammos","ALB",TRUE,"14812","",0.014730354270881
46560,10812450.3837121,0,0,FALSE,0,"14812","GRC;ALB","Grammos","ALB",NA,NA,"no pas overlapping kba",0
46566,2960133.00685129,0,0,FALSE,0,"14812","GRC;ALB","Grammos","ALB",NA,NA,"no pas overlapping kba",0
