"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
31749,246720588.939064,238180489.347603,1958,FALSE,1,"14816","MKD;ALB","Galičica","MKD",FALSE,"14816","",0.965385541481623
31749,246720588.939064,NA,1967,FALSE,1,"14816","MKD;ALB","Galičica","MKD",FALSE,"14816","",NA
31749,246720588.939064,10527.358628042,1977,FALSE,2,"14816","MKD;ALB","Galičica","MKD",FALSE,"14816","",4.26691532851443e-05
31749,246720588.939064,6346912.09969462,1979,FALSE,1,"14816","MKD;ALB","Galičica","MKD",FALSE,"14816","",0.0257251011234503
31690,46122873.0384413,0,0,FALSE,0,"14816","MKD;ALB","Galičica","MKD",NA,NA,"no pas overlapping kba",0
127,6512507.36159146,1913296.90849404,1958,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",0.293788060767195
127,6512507.36159146,4451248.95822499,1977,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",0.683492349579047
127,6512507.36159146,584.002103244271,1995,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",8.96739260040633e-05
127,6512507.36159146,245.54790854454,1999,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",3.77040508226828e-05
127,6512507.36159146,NA,2013,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",NA
126,5264601.73928276,99625.7596844871,1958,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",0.0189237029918354
126,5264601.73928276,4976277.62890929,1977,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",0.945233443163975
126,5264601.73928276,188699.295101274,1979,FALSE,1,"14816","MKD;ALB","Galičica","MKD",TRUE,"14816","",0.0358430332333138
2901,100494059.442182,47175.2573159365,1958,FALSE,1,"14816","MKD;ALB","Galičica","ALB",TRUE,"14816","",0.000469433293647356
2901,100494059.442182,18890.0464998633,1977,FALSE,1,"14816","MKD;ALB","Galičica","ALB",TRUE,"14816","",0.000187971772706938
2901,100494059.442182,100190579.72429,1999,FALSE,1,"14816","MKD;ALB","Galičica","ALB",TRUE,"14816","",0.996980122809486
31965,2275595.86123592,1166467.32646705,1958,FALSE,1,"14816","MKD;ALB","Galičica","ALB",FALSE,"14816","",0.512598632445008
31965,2275595.86123592,76492.2464071512,1977,FALSE,1,"14816","MKD;ALB","Galičica","ALB",FALSE,"14816","",0.0336141613324991
31965,2275595.86123592,776044.07446827,1999,FALSE,1,"14816","MKD;ALB","Galičica","ALB",FALSE,"14816","",0.34102895320208
31965,2275595.86123592,15187.4698440633,2013,FALSE,1,"14816","MKD;ALB","Galičica","ALB",FALSE,"14816","",0.006674062869764
