"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
31818,94489120.3735785,529767.159283772,1964,FALSE,2,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",FALSE,"14839","",0.00560664716942278
31818,94489120.3735785,10143431.6232845,1971,FALSE,3,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",FALSE,"14839","",0.10735025983077
31818,94489120.3735785,1510786.44047484,2014,FALSE,7,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",FALSE,"14839","",0.0159889988868739
31962,714642.114054441,714024.88178587,1965,FALSE,1,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",TRUE,"14839","",0.999136305772591
3609,12256452.1164095,2886283.77263203,1965,FALSE,2,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",TRUE,"14839","",0.235490967958642
3609,12256452.1164095,1507867.01156226,1993,FALSE,1,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",TRUE,"14839","",0.123026386203839
3609,12256452.1164095,6939309.84719576,2013,FALSE,1,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",TRUE,"14839","",0.566176066392416
3609,12256452.1164095,0.00082889199256897,2014,FALSE,1,"14839","HRV;BIH","Mountains of Lower Herzegovina","HRV",TRUE,"14839","",6.76290320148364e-11
102,23864556.4145867,23861181.9625258,1995,FALSE,1,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",TRUE,"14839","",0.999858599841446
31728,17522258.1369552,0,0,FALSE,0,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",NA,NA,"no pas overlapping kba",0
31884,1108800.21508893,0,0,FALSE,0,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",NA,NA,"no pas overlapping kba",0
31711,1735261.30525057,0,0,FALSE,0,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",NA,NA,"no pas overlapping kba",0
31889,23063651.5490055,0,0,FALSE,0,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",NA,NA,"no pas overlapping kba",0
46568,479780.112076879,0,0,FALSE,0,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",NA,NA,"no pas overlapping kba",0
31927,19882153.8011624,0,0,FALSE,0,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",NA,NA,"no pas overlapping kba",0
31798,15308907.3071105,0,0,FALSE,0,"14839","HRV;BIH","Mountains of Lower Herzegovina","BIH",NA,NA,"no pas overlapping kba",0
