"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
1850,504518519.055425,316682328.116916,1988,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",0.627692178098474
1850,504518519.055425,0.528019351884723,1992,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",1.04658071397121e-09
1850,504518519.055425,NA,2001,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",NA
1850,504518519.055425,2.79773784256097,2002,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",5.54536203705461e-09
1850,504518519.055425,0.000335944673125255,2012,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",6.65871837081859e-13
1849,9242732.29686645,0,0,FALSE,0,"15076","ESP","Sierras de Priego","ESP",NA,NA,"no pas overlapping kba",0
1967,445687.234218361,32013.9726754129,1987,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",0.0718305803206558
1967,445687.234218361,NA,1992,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",NA
1967,445687.234218361,NA,2006,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",NA
1967,445687.234218361,2.29466028141906,2007,FALSE,1,"15076","ESP","Sierras de Priego","ESP",TRUE,"15076","",5.14858875292534e-06
1861,2080017.26969233,0,0,FALSE,0,"15076","ESP","Sierras de Priego","ESP",NA,NA,"no pas overlapping kba",0
