"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
16369,3869231259.51467,2666719413.9031,2004,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.689211689620638
44787,1710472739.65875,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44761,8180254.7166987,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44781,251162375.026462,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44768,207160887.16559,25262686.4072744,1991,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.121947181984605
44768,207160887.16559,123580976.201331,2011,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.596545891901638
44788,631946731.991201,188298458.235293,2004,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.297965712461213
44788,631946731.991201,17647606.7821867,2018,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.0279257821724639
44784,234085874.060956,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
16367,35388382.1609741,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44763,36098626.6724626,7757081.37734999,2008,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.214885775232757
44764,48433928.346273,40103344.1308853,2018,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.828001062481879
16368,351599241.763911,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44767,10908563.8303729,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44790,450906972.015068,304433215.950914,1999,FALSE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.675157482241683
44790,450906972.015068,3264.24332608845,2014,FALSE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",7.23928333044132e-06
16366,8985092.17355785,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44779,80988220.3724217,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44780,512697833.738406,438240796.842764,1999,FALSE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.85477403648709
44780,512697833.738406,682759.370335002,2009,FALSE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.00133169934687761
44783,457537339.97499,334264488.996984,2009,TRUE,1,"15234","IDN","Minahasa Highlands","IDN",FALSE,"15234","",0.730573135331982
16375,131842617.540278,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
16372,9228.11121944897,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
31485,712134266.934198,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44773,4088989.23303578,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
44762,99066302.9006337,0,0,FALSE,0,"15234","IDN","Minahasa Highlands","IDN",NA,NA,"no pas overlapping kba",0
