"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
18411,8186.04373939149,0,0,FALSE,0,"15250","IND","Cardamom Hills (India)","IND",NA,NA,"no pas overlapping kba",0
18246,159619356.201353,139322538.228022,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",TRUE,"15250","",0.872842376661841
24920,258445341.726528,215763941.996096,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",TRUE,"15250","",0.834853282921249
45251,53049646.445827,0,0,FALSE,0,"15250","IND","Cardamom Hills (India)","IND",NA,NA,"no pas overlapping kba",0
24949,143056108.22222,21671102.5403197,1950,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",0.151486733489607
24949,143056108.22222,0.206054937915298,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",1.44037846741376e-09
18243,143490027.907327,0,0,FALSE,0,"15250","IND","Cardamom Hills (India)","IND",NA,NA,"no pas overlapping kba",0
18254,681955299.01222,560419856.359707,1950,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",0.821783857639128
18254,681955299.01222,121469525.456935,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",0.17811948324601
18402,464533803.549194,67944228.8296232,1950,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",0.146263260736908
18402,464533803.549194,365596706.00946,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",0.787018518816455
25016,138373681.489706,4552967.97383956,1950,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",TRUE,"15250","",0.0329034244433127
25016,138373681.489706,83.8708744596311,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",TRUE,"15250","",6.06118689310659e-07
18405,279731130.534239,115044626.345646,1950,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",TRUE,"15250","",0.411268585394591
18405,279731130.534239,118649614.089008,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",TRUE,"15250","",0.424155916656138
46938,27301435.7389538,0,0,FALSE,0,"15250","IND","Cardamom Hills (India)","IND",NA,NA,"no pas overlapping kba",0
18255,898553071.203785,141412567.832712,1950,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",0.157378091917557
18255,898553071.203785,689651612.498972,2012,FALSE,1,"15250","IND","Cardamom Hills (India)","IND",FALSE,"15250","",0.767513499870465
