"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
3250,17958171.4092093,343479.520926345,1956,FALSE,1,"15418","AUT;DEU","Ammergau Alps","AUT",TRUE,"15418","",0.019126642301131
3250,17958171.4092093,2006906.71458644,2000,FALSE,1,"15418","AUT;DEU","Ammergau Alps","AUT",TRUE,"15418","",0.111754513800735
3250,17958171.4092093,4.07214729214369e-06,2003,FALSE,1,"15418","AUT;DEU","Ammergau Alps","AUT",TRUE,"15418","",2.26757346243806e-13
3250,17958171.4092093,2430.00652419235,2004,FALSE,3,"15418","AUT;DEU","Ammergau Alps","AUT",TRUE,"15418","",0.000135314808441253
3250,17958171.4092093,38472.2298878559,2006,FALSE,1,"15418","AUT;DEU","Ammergau Alps","AUT",TRUE,"15418","",0.00214232446117128
3372,287607217.862565,65245.3023709344,1956,FALSE,1,"15418","AUT;DEU","Ammergau Alps","DEU",TRUE,"15418","",0.000226855580523408
3372,287607217.862565,1690.61708766036,1976,FALSE,1,"15418","AUT;DEU","Ammergau Alps","DEU",TRUE,"15418","",5.87821508870556e-06
3372,287607217.862565,4300.1912667742,1982,FALSE,1,"15418","AUT;DEU","Ammergau Alps","DEU",TRUE,"15418","",1.49516110851887e-05
3372,287607217.862565,287260374.288754,1986,FALSE,1,"15418","AUT;DEU","Ammergau Alps","DEU",TRUE,"15418","",0.998794037311062
3503,4580779.73361834,343595.2414136,1980,FALSE,1,"15418","AUT;DEU","Ammergau Alps","DEU",TRUE,"15418","",0.0750080251385927
3503,4580779.73361834,1935332.22929765,2004,FALSE,3,"15418","AUT;DEU","Ammergau Alps","DEU",TRUE,"15418","",0.422489694296858
3503,4580779.73361834,115280.057519564,2006,FALSE,1,"15418","AUT;DEU","Ammergau Alps","DEU",TRUE,"15418","",0.0251660337810009
