"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
3233,789699023.803817,2018016.81088407,1965,FALSE,4,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.00255542523170878
3233,789699023.803817,11251.4321202142,1982,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",1.42477472822727e-05
3233,789699023.803817,36990.6503541637,1988,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",4.68414538186807e-05
3233,789699023.803817,231556388.203345,1991,FALSE,2,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.293221064258109
3233,789699023.803817,32061.9435069454,1994,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",4.06002065856807e-05
3233,789699023.803817,5548832.30850771,1997,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.00702651534477037
3233,789699023.803817,10745535.4009843,2000,FALSE,3,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.0136071276234144
3233,789699023.803817,11213.145685208,2001,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",1.41992649695786e-05
3233,789699023.803817,34681149.3303883,2002,FALSE,3,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.04391692060519
3233,789699023.803817,0.0164419502444107,2004,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",2.08205275032673e-11
3233,789699023.803817,4177.0863853097,2006,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",5.28946631488732e-06
3233,789699023.803817,681749.738705632,2007,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.000863303256247911
3233,789699023.803817,26960131.1868749,2008,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.0341397549879364
3233,789699023.803817,588407.266457158,2010,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.000745103195927635
3233,789699023.803817,11121637.1233316,2012,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.0140833871995446
3233,789699023.803817,3204665.52850474,2015,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.00405808470304107
3233,789699023.803817,71605.9576009152,2017,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",9.06749982493382e-05
3233,789699023.803817,NA,2019,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",NA
3244,9813069.72005241,440214.554053433,1982,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.044860025110581
3244,9813069.72005241,2502032.5209746,1995,FALSE,1,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.254969402271936
3244,9813069.72005241,4216684.29818118,2006,FALSE,2,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.429700839642934
3244,9813069.72005241,1285889.91302431,2007,FALSE,2,"15430","AUT","Totes Mountains","AUT",TRUE,"15430","",0.131038497606582
