"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
3246,432332.592816979,344509.809902236,1970,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","AUT",TRUE,"15457","",0.796862914399976
3246,432332.592816979,87822.7122434899,2000,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","AUT",TRUE,"15457","",0.203136922135011
3247,10215812.8169419,167100.091439754,1970,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","AUT",TRUE,"15457","",0.0163570040322817
3247,10215812.8169419,4556104.20270372,2000,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","AUT",TRUE,"15457","",0.445985481952829
3247,10215812.8169419,NA,2002,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","AUT",TRUE,"15457","",NA
3247,10215812.8169419,NA,2003,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","AUT",TRUE,"15457","",NA
24236,21463901.5410096,164972.656780072,2013,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","ITA",TRUE,"15457","",0.00768605169311226
24236,21463901.5410096,57474.5825387143,2018,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","ITA",TRUE,"15457","",0.00267773230458133
690,18363.5447383672,0,0,FALSE,0,"15457","AUT;ITA;SVN","Karawanks","SVN",NA,NA,"no pas overlapping kba",0
22165,96074187.0168259,15106854.770441,1966,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","SVN",TRUE,"15457","",0.157241557170765
22165,96074187.0168259,148049.371886415,1987,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","SVN",TRUE,"15457","",0.00154099010861769
22165,96074187.0168259,71381032.3979488,2004,FALSE,4,"15457","AUT;ITA;SVN","Karawanks","SVN",TRUE,"15457","",0.742978261012476
22165,96074187.0168259,0.167679040909562,2008,FALSE,2,"15457","AUT;ITA;SVN","Karawanks","SVN",TRUE,"15457","",1.74530793458804e-09
22165,96074187.0168259,1188.21925333445,2013,FALSE,3,"15457","AUT;ITA;SVN","Karawanks","SVN",TRUE,"15457","",1.23677263397124e-05
22165,96074187.0168259,123849.349167311,2015,FALSE,5,"15457","AUT;ITA;SVN","Karawanks","SVN",TRUE,"15457","",0.0012891011937017
29923,60779647.0509189,205341.710054327,1978,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","SVN",FALSE,"15457","",0.00337846170581247
29923,60779647.0509189,33896833.145096,2004,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","SVN",FALSE,"15457","",0.557700394618917
29923,60779647.0509189,1.38363723980695,2008,FALSE,1,"15457","AUT;ITA;SVN","Karawanks","SVN",FALSE,"15457","",2.27648120208364e-08
29923,60779647.0509189,2074349.90801919,2013,FALSE,2,"15457","AUT;ITA;SVN","Karawanks","SVN",FALSE,"15457","",0.0341290219451485
29923,60779647.0509189,2397137.73238717,2018,FALSE,2,"15457","AUT;ITA;SVN","Karawanks","SVN",FALSE,"15457","",0.0394398100136866
