"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
18042,130533394.69615,16070212.3723024,1978,FALSE,1,"15745","IND","Dafla Hills","IND",TRUE,"15745","",0.123111885733991
18044,643037.800610211,0,0,FALSE,0,"15745","IND","Dafla Hills","IND",NA,NA,"no pas overlapping kba",0
18054,750553761.249661,344102248.037832,1977,FALSE,1,"15745","IND","Dafla Hills","IND",TRUE,"15745","",0.458464490891242
18054,750553761.249661,12176836.2861956,1985,FALSE,1,"15745","IND","Dafla Hills","IND",TRUE,"15745","",0.0162238028971054
18055,340827487.225559,0,0,FALSE,0,"15745","IND","Dafla Hills","IND",NA,NA,"no pas overlapping kba",0
18058,344624812.11699,0,0,FALSE,0,"15745","IND","Dafla Hills","IND",NA,NA,"no pas overlapping kba",0
18094,351141.028344452,349090.160186946,1985,FALSE,1,"15745","IND","Dafla Hills","IND",FALSE,"15745","",0.994159417464899
18103,250694.220961851,0,0,FALSE,0,"15745","IND","Dafla Hills","IND",NA,NA,"no pas overlapping kba",0
18041,87826.7895431109,0,0,FALSE,0,"15745","IND","Dafla Hills","IND",NA,NA,"no pas overlapping kba",0
46971,87830.8408153728,0,0,FALSE,0,"15745","IND","Dafla Hills","IND",NA,NA,"no pas overlapping kba",0
