"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
10019,1670729285.58354,8186134.27780968,2006,FALSE,1,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",FALSE,"17718","",0.00489973710788846
10019,1670729285.58354,12487210.5449826,2010,FALSE,1,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",FALSE,"17718","",0.0074741076562988
10019,1670729285.58354,2470130.47986812,2011,FALSE,1,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",FALSE,"17718","",0.0014784744010789
10019,1670729285.58354,21032585.7829284,2012,FALSE,1,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",FALSE,"17718","",0.0125888652125842
10028,128887089.247275,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
10221,6171967.83235651,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
10018,132194110.934783,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
29724,654897284.270133,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
29747,396326343.897698,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
10012,414416630.374686,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
10020,1473073309.38294,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
44575,663181989.057094,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
44561,78687104.0423213,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
10021,466500162.154647,0,0,FALSE,0,"17718","MEX","Cordillera Costera del Sur (nn)","MEX",NA,NA,"no pas overlapping kba",0
