"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
152,84139895.8309224,11789948.4363232,1969,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",FALSE,"17767","",0.140123164164772
152,84139895.8309224,55231094.2122682,2006,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",FALSE,"17767","",0.656419807355764
154,36427689.5939144,31883876.7896377,2006,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",FALSE,"17767","",0.875264864312566
46703,79198210.131069,1670299.98246897,1993,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",TRUE,"17767","",0.0210901228664728
46703,79198210.131069,47811783.4652174,2006,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",TRUE,"17767","",0.603697777842344
46711,438274455.240301,58738547.4612442,2006,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",TRUE,"17767","",0.134022293015089
46708,952466.945043668,0,0,FALSE,0,"17767","AZE;RUS","Bazarduzu Range","AZE",NA,NA,"no pas overlapping kba",0
165,209995469.902929,196251090.696683,1969,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",TRUE,"17767","",0.934549163310048
165,209995469.902929,5094973.31573016,2006,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","AZE",TRUE,"17767","",0.0242623010776629
181,193272.79823342,0,0,FALSE,0,"17767","AZE;RUS","Bazarduzu Range","AZE",NA,NA,"no pas overlapping kba",0
1434,188321628.454841,78135.8166890144,2006,FALSE,1,"17767","AZE;RUS","Bazarduzu Range","RUS",TRUE,"17767","",0.000414906228934565
