"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
19,19625490.8644014,2601377.98951673,1992,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","AND",TRUE,"17917","",0.132550977068062
19,19625490.8644014,1481544.71604002,2000,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","AND",TRUE,"17917","",0.0754908361924023
19,19625490.8644014,59733.4827483569,2001,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","AND",TRUE,"17917","",0.00304366821503084
19,19625490.8644014,5616827.17993203,2003,FALSE,3,"17917","AND;ESP","Macizo de Montcalm","AND",TRUE,"17917","",0.28620059588524
19,19625490.8644014,3.43527020249187e-06,2014,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","AND",TRUE,"17917","",1.75041237247375e-13
1772,59868.6573542459,0,0,FALSE,0,"17917","AND;ESP","Macizo de Montcalm","ESP",NA,NA,"no pas overlapping kba",0
1773,425496393.086966,296262.478356822,1987,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","ESP",TRUE,"17917","",0.000696274946556996
1773,425496393.086966,342812541.464956,1992,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","ESP",TRUE,"17917","",0.805676727311033
1773,425496393.086966,468630.968358482,2001,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","ESP",TRUE,"17917","",0.00110137471426861
1773,425496393.086966,267522.745899382,2003,FALSE,3,"17917","AND;ESP","Macizo de Montcalm","ESP",TRUE,"17917","",0.000628730936961676
1773,425496393.086966,NA,2014,FALSE,1,"17917","AND;ESP","Macizo de Montcalm","ESP",TRUE,"17917","",NA
