"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
2173,68634418.9324252,15092.3695081361,1987,FALSE,1,"17965","FRA;ESP","Mondarrain-Lizartzu Range","FRA",TRUE,"17965","",0.00021989505765315
2173,68634418.9324252,329231.266582366,1990,FALSE,1,"17965","FRA;ESP","Mondarrain-Lizartzu Range","FRA",TRUE,"17965","",0.00479688284250667
2173,68634418.9324252,999.418926212937,2004,FALSE,1,"17965","FRA;ESP","Mondarrain-Lizartzu Range","FRA",TRUE,"17965","",1.45614830249663e-05
2173,68634418.9324252,6.00168763710291e-06,2014,FALSE,1,"17965","FRA;ESP","Mondarrain-Lizartzu Range","FRA",TRUE,"17965","",8.74442842302189e-14
2173,68634418.9324252,67928051.250008,2016,FALSE,3,"17965","FRA;ESP","Mondarrain-Lizartzu Range","FRA",TRUE,"17965","",0.989708258722018
1764,63882014.388804,2299425.18234802,1987,FALSE,2,"17965","FRA;ESP","Mondarrain-Lizartzu Range","ESP",TRUE,"17965","",0.0359948759341411
1764,63882014.388804,56614839.2302482,1990,FALSE,1,"17965","FRA;ESP","Mondarrain-Lizartzu Range","ESP",TRUE,"17965","",0.886240669958751
1764,63882014.388804,NA,2014,FALSE,1,"17965","FRA;ESP","Mondarrain-Lizartzu Range","ESP",TRUE,"17965","",NA
1764,63882014.388804,1490400.97644422,2016,FALSE,3,"17965","FRA;ESP","Mondarrain-Lizartzu Range","ESP",TRUE,"17965","",0.0233305256683551
1764,63882014.388804,34080.0741538038,2019,FALSE,1,"17965","FRA;ESP","Mondarrain-Lizartzu Range","ESP",TRUE,"17965","",0.000533484651037815
