"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
15201,490334460.330548,3679995.91021058,1928,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.00750507298167416
15201,490334460.330548,480352398.596397,1966,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.97964234101062
15204,146132882.031011,139240632.8189,1974,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.952835740209045
15204,146132882.031011,158605.168366149,1999,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.00108534893832102
15208,326390905.076198,113454645.082413,1999,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.347603573867743
15210,111615958.712475,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","BTN",NA,NA,"no pas overlapping kba",0
15215,221511014.958883,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","BTN",NA,NA,"no pas overlapping kba",0
15216,159981043.07499,2683419.6475711,1966,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.0167733601181314
15216,159981043.07499,21166769.3865653,1974,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.132307984619425
15216,159981043.07499,74632168.5380136,1999,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",TRUE,"18093","",0.466506325396506
18042,35901742.9615445,9095914.34349704,1978,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",TRUE,"18093","",0.253355787022373
18043,36281560.1435142,28206001.3530536,1991,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",FALSE,"18093","",0.777419748254562
18054,39573389.3028536,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
18055,204271358.762928,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
18058,5814730.34416699,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
18067,6144394.85758922,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
18099,9285551.89136524,43987.7493443787,1974,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",TRUE,"18093","",0.00473722508462674
18102,14224148.305109,907075.618842602,1998,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",FALSE,"18093","",0.0637701182092427
18103,78487493.8337731,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
18458,24824938.8403045,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
18460,38439398.4522331,32406484.3279767,1992,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",TRUE,"18093","",0.843053888271607
25014,37669339.3931744,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
25018,37669339.3931744,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
18093,14796805.9702158,14175044.0070207,1928,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",FALSE,"18093","",0.957979988083466
18093,14796805.9702158,598231.90983659,1985,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",FALSE,"18093","",0.0404298002582962
18041,119105601.195915,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
46971,118847714.800665,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
46874,192738.738031626,0,0,FALSE,0,"18093","BTN;IND","Eastern Sivalik Hills","IND",NA,NA,"no pas overlapping kba",0
46965,7698642.71192369,44000.0034480095,1974,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","IND",FALSE,"18093","",0.00571529360361952
15198,196911587.891068,194976530.764143,1974,FALSE,1,"18093","BTN;IND","Eastern Sivalik Hills","BTN",FALSE,"18093","",0.99017296469116
