"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
20179,1276120153.64876,85908.6529749632,1982,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",TRUE,"18243","",6.73201913858406e-05
20179,1276120153.64876,1156117973.37863,1985,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",TRUE,"18243","",0.90596325908104
20179,1276120153.64876,NA,1994,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",TRUE,"18243","",NA
20179,1276120153.64876,43747668.0147782,1999,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",TRUE,"18243","",0.034281778161478
20179,1276120153.64876,70234352.8152908,2008,FALSE,3,"18243","BRA","Serra da Graciosa","BRA",TRUE,"18243","",0.0550374136906092
20181,268687.666223913,129615.505460501,1996,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",FALSE,"18243","",0.482402141051329
20182,608339780.784875,972403.498978437,1985,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",FALSE,"18243","",0.00159845456386865
20182,608339780.784875,60365.0309253111,1992,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",FALSE,"18243","",9.92291361374209e-05
20182,608339780.784875,17348803.5486199,1996,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",FALSE,"18243","",0.0285182789233947
20182,608339780.784875,93467689.7487923,1999,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",FALSE,"18243","",0.153643888992762
20182,608339780.784875,NA,2010,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",FALSE,"18243","",NA
20184,1547172.73945141,0,0,FALSE,0,"18243","BRA","Serra da Graciosa","BRA",NA,NA,"no pas overlapping kba",0
20188,585762409.301473,582859536.397538,1992,FALSE,1,"18243","BRA","Serra da Graciosa","BRA",TRUE,"18243","",0.995044282702611
