"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
7137,23428900.8299719,1658445.03141476,1975,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",FALSE,"18285","",0.0707862926839985
7137,23428900.8299719,21757117.6311901,2007,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",FALSE,"18285","",0.928644403298547
7140,11994658.822428,11848325.394502,1971,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",FALSE,"18285","",0.987800117527939
7142,30972538.1521403,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
31598,122571067.871494,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45522,221751601.148065,43332621.9022524,1982,FALSE,2,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.195410638200168
45522,221751601.148065,3757181.3508486,1989,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.0169431982966378
45527,446864241.359508,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45528,549318005.266787,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45529,2355463623.54976,1731374.45060165,1975,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.000735046142632598
45529,2355463623.54976,448861.508578324,1994,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.000190561851217161
45529,2355463623.54976,43488883.7101419,2007,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.018462982520869
45529,2355463623.54976,68819217.0498986,2015,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.0292168456187771
45530,109186403.139002,29142149.5265973,1994,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.266902734120632
45530,109186403.139002,28538842.1673581,2013,FALSE,2,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.261377253457338
45541,21714375.5474971,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45564,3698579.61067604,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45566,1786314717.51167,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45567,506869379.593147,12190433.7343463,1971,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.0240504442074037
45568,537544383.961792,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45569,9333136.57037687,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
45570,109730439.414783,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",NA,NA,"no pas overlapping kba",0
7128,52419147.6078913,24634659.1936786,1994,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.46995535635093
7128,52419147.6078913,6388679.67840636,2013,FALSE,2,"18285","ZAF","Eastern Cape Hills","ZAF",TRUE,"18285","",0.121876832606957
