"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
1019,2211321.53463078,910590.957676318,2002,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.411785868050328
1019,2211321.53463078,NA,2006,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",NA
1025,539323697.367221,127658231.255555,1973,FALSE,2,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.23670057866683
1025,539323697.367221,21644302.9724661,1986,FALSE,2,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.0401323047329936
1025,539323697.367221,148381365.020742,1987,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.275124875367214
1025,539323697.367221,20704614.747674,1989,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.0383899592188259
1025,539323697.367221,NA,1993,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",NA
1025,539323697.367221,152673720.49869,2001,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.283083649474309
1025,539323697.367221,2040053.83869062,2004,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.00378261487238446
1025,539323697.367221,51513717.3444591,2005,FALSE,3,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.0955153975171685
1025,539323697.367221,0.0190009122052288,2006,FALSE,4,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",3.5230998188999e-11
1025,539323697.367221,712929.907377624,2010,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.00132189612816549
1026,333268466.144438,529.488635063171,1973,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",1.58877508330984e-06
1026,333268466.144438,515526.834952067,1987,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.0015468815304255
1026,333268466.144438,45184.4123976827,2001,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.000135579621199744
1026,333268466.144438,154324.55607295,2004,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.00046306378115614
1026,333268466.144438,320891754.547864,2005,FALSE,2,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.962862638221493
1026,333268466.144438,116.2305341959,2006,FALSE,3,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",3.48759471727295e-07
1026,333268466.144438,11477081.5188453,2010,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",TRUE,"18413","",0.0344379462348265
1027,78130411.6185308,62000014.7477547,1966,FALSE,2,"18413","GRC;ALB","Zagori Mountains","GRC",FALSE,"18413","",0.793545220911773
1027,78130411.6185308,2121088.2425984,1986,FALSE,2,"18413","GRC;ALB","Zagori Mountains","GRC",FALSE,"18413","",0.0271480489947313
1027,78130411.6185308,10009084.4577369,1987,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",FALSE,"18413","",0.128107407223272
1027,78130411.6185308,0.00124490261077881,1994,FALSE,1,"18413","GRC;ALB","Zagori Mountains","GRC",FALSE,"18413","",1.59336497144928e-11
1027,78130411.6185308,4000224.23469706,2005,FALSE,2,"18413","GRC;ALB","Zagori Mountains","GRC",FALSE,"18413","",0.051199323692649
1092,99997300.5014442,98722567.3706392,2005,FALSE,2,"18413","GRC;ALB","Zagori Mountains","GRC",FALSE,"18413","",0.987252324568636
46627,245838.472295284,0,0,FALSE,0,"18413","GRC;ALB","Zagori Mountains","ALB",NA,NA,"no pas overlapping kba",0
