"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
24331,1311410197.76791,1270849383.99268,2000,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",0.969070841568668
24331,1311410197.76791,759726.149987347,2002,FALSE,2,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",0.000579319995589816
24331,1311410197.76791,291.489541862393,2007,FALSE,2,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",2.22271827959339e-07
24331,1311410197.76791,0.345001040026546,2008,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",2.63076374283008e-10
24331,1311410197.76791,348.624001327902,2009,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",2.65839019645629e-07
24331,1311410197.76791,390.165639202809,2012,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",2.9751609364247e-07
24331,1311410197.76791,NA,2015,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",NA
24331,1311410197.76791,7181502.18120542,2016,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",0.00547616771123841
24331,1311410197.76791,7784.41766665375,2018,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",5.93591362939165e-06
26803,860580905.30053,796222394.724036,2000,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",0.925215037679671
26803,860580905.30053,4338.14518342338,2002,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",5.0409498476014e-06
26803,860580905.30053,402.729635152151,2008,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",4.67974170321047e-07
26803,860580905.30053,173.228645659838,2012,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",2.0129269031288e-07
26803,860580905.30053,61975719.1818213,2015,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",0.0720161449087443
26807,878545794.176701,796512741.034899,2000,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",0.906626320807014
26807,878545794.176701,82.0500309022961,2002,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",9.33930040370706e-08
26807,878545794.176701,3.77839914840479,2008,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",4.30074240119217e-09
26807,878545794.176701,12.0927770609931,2012,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",1.37645381050687e-08
26807,878545794.176701,80369935.4121037,2015,FALSE,1,"18440","AUS","Cullarin Range","AUS",TRUE,"18440","",0.0914806444294911
