"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
2786,487526328.453962,5571532.51808831,1996,FALSE,1,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.0114281674504774
2786,487526328.453962,2125854.36517615,1997,FALSE,1,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.00436049140549525
2786,487526328.453962,2859873.98232588,2001,FALSE,1,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.0058660913583787
2786,487526328.453962,198086.49054342,2017,FALSE,3,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.000406309319071218
2786,487526328.453962,106261834.266323,2018,FALSE,5,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.217961221916567
2786,487526328.453962,1.33391492875125e-05,2019,FALSE,5,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",2.7360879831482e-14
2788,364276718.73307,1342810.27677408,1993,FALSE,1,"18581","ITA","Appennino Sannita","ITA",FALSE,"18581","",0.00368623688454285
2788,364276718.73307,240332101.376443,2007,FALSE,1,"18581","ITA","Appennino Sannita","ITA",FALSE,"18581","",0.65975147193678
2788,364276718.73307,57544.9381347904,2017,FALSE,1,"18581","ITA","Appennino Sannita","ITA",FALSE,"18581","",0.000157970397710092
2788,364276718.73307,5517.06356766605,2018,FALSE,9,"18581","ITA","Appennino Sannita","ITA",FALSE,"18581","",1.51452543738014e-05
2789,219391.028083123,0,0,FALSE,0,"18581","ITA","Appennino Sannita","ITA",NA,NA,"no pas overlapping kba",0
2884,82435663.2154921,28513634.083086,2005,FALSE,3,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.345889545505924
2884,82435663.2154921,10335598.2585434,2015,FALSE,1,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.125377753455146
2884,82435663.2154921,53351.9882134983,2017,FALSE,3,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",0.00064719547502193
2884,82435663.2154921,NA,2018,FALSE,1,"18581","ITA","Appennino Sannita","ITA",TRUE,"18581","",NA
