"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
2430,41340.1549563408,41340.1549563408,1964,FALSE,1,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",1
2557,1016229899.60137,2307996.18217778,1947,FALSE,1,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",0.00227113587494633
2557,1016229899.60137,964501117.871312,1954,FALSE,1,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",0.949097362958572
2557,1016229899.60137,NA,1982,FALSE,1,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",NA
2557,1016229899.60137,NA,1983,FALSE,2,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",NA
2557,1016229899.60137,NA,1984,FALSE,4,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",NA
2557,1016229899.60137,NA,1985,FALSE,6,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",NA
2557,1016229899.60137,NA,1986,FALSE,20,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",NA
2557,1016229899.60137,NA,1987,FALSE,3,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",NA
2557,1016229899.60137,40113076.8072309,1988,FALSE,7,"19001","GBR","Yorkshire Dales","GBR",TRUE,"19001","",0.0394724430199957
