"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
2427,188034529.511526,37483197.790375,1951,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.199342098963145
2427,188034529.511526,29208781.5779022,1977,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.155337329020263
2427,188034529.511526,121027441.861809,1983,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.643644771926799
2450,185033.562112576,120540.30670497,1951,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.651451041252899
2450,185033.562112576,64487.0345589258,1954,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.348515338637276
2466,22188875.4114096,21733930.831597,1954,FALSE,1,"19018","GBR","Snowdonia","GBR",TRUE,"19018","",0.979496726563319
2466,22188875.4114096,403088.626383008,1979,FALSE,1,"19018","GBR","Snowdonia","GBR",TRUE,"19018","",0.0181662485776876
2623,183198.873562278,182240.353451541,1971,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.994767871154995
20804,51272177.3551908,43240547.8502855,1957,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.843353063606686
20804,51272177.3551908,0.00072773452848196,1971,FALSE,2,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",1.41935561550378e-11
20804,51272177.3551908,NA,1972,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20804,51272177.3551908,NA,1981,FALSE,2,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20804,51272177.3551908,NA,1989,FALSE,2,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20804,51272177.3551908,NA,1990,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20804,51272177.3551908,NA,1992,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20804,51272177.3551908,NA,1993,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20804,51272177.3551908,NA,1995,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20804,51272177.3551908,78325.5798096657,2001,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.00152764294106453
20804,51272177.3551908,12391.2153901011,2004,FALSE,2,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.000241675232636606
20804,51272177.3551908,NA,2013,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",NA
20808,150298408.830335,26770689.4213361,1948,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.178116918400356
20808,150298408.830335,120455780.294712,1951,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.801444148558414
20808,150298408.830335,3065406.76572792,1971,FALSE,2,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",0.0203954705148496
20813,895874.470931411,895874.470931411,1951,FALSE,1,"19018","GBR","Snowdonia","GBR",FALSE,"19018","",1
