"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
18063,57870487.1297284,0,0,FALSE,0,"19187","IND","Jaintia Hills","IND",NA,NA,"no pas overlapping kba",0
18064,455944721.946283,194657799.942658,2004,FALSE,1,"19187","IND","Jaintia Hills","IND",TRUE,"19187","",0.426932894653821
18084,12593556.9431405,0,0,FALSE,0,"19187","IND","Jaintia Hills","IND",NA,NA,"no pas overlapping kba",0
18286,67626588.4932214,6108113.3265543,1981,FALSE,1,"19187","IND","Jaintia Hills","IND",FALSE,"19187","",0.0903211808054838
18287,235390271.773859,0,0,FALSE,0,"19187","IND","Jaintia Hills","IND",NA,NA,"no pas overlapping kba",0
18288,3198435.19124418,0,0,FALSE,0,"19187","IND","Jaintia Hills","IND",NA,NA,"no pas overlapping kba",0
18289,231748566.56592,0,0,FALSE,0,"19187","IND","Jaintia Hills","IND",NA,NA,"no pas overlapping kba",0
25012,14610692.0430588,0,0,FALSE,0,"19187","IND","Jaintia Hills","IND",NA,NA,"no pas overlapping kba",0
46966,234206461.413685,154520182.706965,2004,FALSE,1,"19187","IND","Jaintia Hills","IND",TRUE,"19187","",0.65976054535076
46873,212449422.822378,29126694.5231398,2004,FALSE,1,"19187","IND","Jaintia Hills","IND",TRUE,"19187","",0.137099428824957
