"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
23143,615168708.994202,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
23275,1602651253.18964,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
23220,367960607.027349,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
23291,254902506.315638,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
15558,2382643.80408265,2330607.58323721,2003,FALSE,1,"19378","CHN","Shaluli Shan (nn)","CHN",TRUE,"19378","",0.978160302116383
23155,1563949245.14416,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
23208,1185157725.41954,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
23101,159520299.593281,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
15475,155233485.600387,0,0,FALSE,0,"19378","CHN","Shaluli Shan (nn)","CHN",NA,NA,"no pas overlapping kba",0
15560,159147291.084397,159146663.996393,2003,FALSE,1,"19378","CHN","Shaluli Shan (nn)","CHN",TRUE,"19378","",0.999996059700419
