"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
424,219902516.187812,517468.641669799,1999,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.00235317289970363
424,219902516.187812,2827454.14771988,2001,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.0128577616879337
424,219902516.187812,101717.28968131,2002,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.000462556279230732
424,219902516.187812,216369148.699658,2007,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.983932118879727
994,1103450142.09902,21090212.5516081,1987,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.0191129727995589
994,1103450142.09902,24519179.8800362,2001,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.022220469185309
994,1103450142.09902,256705.980670725,2002,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.00023263940152512
994,1103450142.09902,133514246.28164,2005,FALSE,2,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.120997081053127
994,1103450142.09902,122957773.171395,2006,FALSE,4,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.111430293477058
994,1103450142.09902,1726045.74357565,2007,FALSE,2,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.00156422630957508
994,1103450142.09902,393290.06668755,2008,FALSE,3,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.000356418520133061
994,1103450142.09902,798745923.567546,2009,FALSE,8,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",TRUE,"19486","",0.723862268981308
1162,344249225.532274,1304704.87066855,1986,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.00379000088860399
1162,344249225.532274,1307514.36870615,1987,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.00379816212130756
1162,344249225.532274,113722.27605325,1998,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.00033034867653635
1162,344249225.532274,87304530.6271849,2001,FALSE,2,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.253608502654423
1162,344249225.532274,353586.297314843,2002,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.00102712300011171
1162,344249225.532274,35360125.7876438,2006,FALSE,4,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.102716645863097
1162,344249225.532274,257127.330070036,2007,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.000746922029156258
1162,344249225.532274,217761803.761047,2008,FALSE,2,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.632570206728415
18998,18204886.0958679,18126233.1373471,2002,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.99567956876486
19004,12067879.7103669,48720.209397763,1987,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.0040371805625399
19004,12067879.7103669,358858.234920094,2006,FALSE,2,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.0297366433485259
19004,12067879.7103669,11653616.6487673,2007,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","BGR",TRUE,"19486","",0.965672257965598
987,118519399.882406,117231136.511119,1986,FALSE,1,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.989130358636946
990,783572354.998627,74869745.9014089,2001,FALSE,5,"19486","BGR;GRC","Southern Rhodopes (nn)","GRC",FALSE,"19486","",0.0955492436962508
