"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
16665,544205007.661355,544176273.148625,1993,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","KHM",FALSE,"19517","",0.999947199102679
23503,119863620.244757,119863619.373175,1975,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",0.999999992728554
21906,59167627.2601337,59167627.5624386,1977,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",1.0000000051093
15112,516471267.410851,516471266.03965,1972,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",0.999999997345058
15113,247904284.885297,0.000143342043543271,1972,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",5.78215272114371e-13
15113,247904284.885297,247904282.07794,1977,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",0.999999988675639
23512,132635890.533938,7230441.95070631,1993,FALSE,2,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",0.0545134648065431
23512,132635890.533938,606.737012176614,1998,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",4.5744557505072e-06
23512,132635890.533938,125404842.414761,2009,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",0.945481965024194
16664,2495721493.28912,127918436.451209,1993,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","KHM",FALSE,"19517","",0.0512550926836894
16664,2495721493.28912,2337869483.88171,2016,FALSE,2,"19517","KHM;THA","Cardamom Mountains (nn)","KHM",FALSE,"19517","",0.936750951645903
31503,1321318951.93664,4930956.33633911,1993,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","KHM",TRUE,"19517","",0.00373184410101126
31503,1321318951.93664,1303530579.6037,2016,FALSE,3,"19517","KHM;THA","Cardamom Mountains (nn)","KHM",TRUE,"19517","",0.986537412252462
21905,77146396.9271651,77146396.8919797,1975,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","THA",FALSE,"19517","",0.999999999543914
16663,1591687147.58874,1570883580.92576,1993,FALSE,1,"19517","KHM;THA","Cardamom Mountains (nn)","KHM",FALSE,"19517","",0.986929864518605
