"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
16629,985250.325235128,0,0,FALSE,0,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","LAO",NA,NA,"no pas overlapping kba",0
16656,184433054.048854,5121911.96650815,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19519","",0.0277711172377563
16656,184433054.048854,4652723.68777686,1978,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19519","",0.0252271682631489
16656,184433054.048854,22184089.9856825,1993,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19519","",0.120282614741099
16656,184433054.048854,6303593.12359172,1998,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19519","",0.0341782179777926
16656,184433054.048854,94808760.0035813,2016,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19519","",0.514055143165757
16656,184433054.048854,41788283.4000442,2017,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19519","",0.226576974585993
16658,45406305.1657478,556267.843206465,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519","",0.0122508942574364
16658,45406305.1657478,2084572.75907613,1987,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519","",0.0459093236383529
16658,45406305.1657478,40454320.011295,2016,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519","",0.890940583331402
31501,17937332.896857,6940096.78697651,1995,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519","",0.386907954871739
31501,17937332.896857,10667197.4720912,2017,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519","",0.594692507154189
23515,182415628.253734,11295145.2376269,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519","",0.0619198329976188
23515,182415628.253734,164010637.270522,1987,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519","",0.899104089055291
23515,182415628.253734,856617.984959926,2016,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519","",0.00469596817531664
21900,163079770.880314,161515147.249806,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519","",0.99040577735631
