"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
23442,1932570875.61477,86756624.9410611,1924,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.0448918205462776
23442,1932570875.61477,607809293.923538,1983,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.314508151598935
23442,1932570875.61477,790541713.618378,1993,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.409062210133378
23442,1932570875.61477,4114798.1209132,1999,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.00212918355173092
1486,522764955.525872,504088001.454405,1924,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.964272750355503
1486,522764955.525872,1875239.03825891,1983,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.00358715521849112
1486,522764955.525872,2211582.78788137,1993,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.00423054905365002
1486,522764955.525872,13122303.4577915,1999,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",TRUE,"19543","",0.0251017274954692
46755,301012184.410935,189222.096887887,1924,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",FALSE,"19543","",0.000628619393790269
46755,301012184.410935,144266835.521396,1993,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",FALSE,"19543","",0.479272411526193
46755,301012184.410935,644272.973225869,1999,FALSE,1,"19543","RUS","South Western Caucasus (nn)","RUS",FALSE,"19543","",0.00214035513042994
