"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
14724,5849193.87237683,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
14888,12335872.3391562,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
14889,50658326.0778874,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
25198,65293636.4209079,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
14916,18360518.9126058,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
26758,38479776.3935122,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
14852,1105308134.15664,1042393105.65823,1986,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",FALSE,"19699","",0.943079195245029
14852,1105308134.15664,8800923.18157499,1987,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",FALSE,"19699","",0.00796241600835603
14852,1105308134.15664,30126650.5716468,1988,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",FALSE,"19699","",0.027256336618416
47169,9669864.01194328,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
29758,154123425.59933,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
47171,9810934.87559503,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
47176,321909522.448829,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
29762,36889227.8095513,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
14788,456643.248582749,456005.703526087,1974,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",TRUE,"19699","",0.99860384433879
14834,1233830.23430604,19357.1180347026,1987,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",TRUE,"19699","",0.0156886397305623
14899,143148208.97115,0,0,FALSE,0,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",NA,NA,"no pas overlapping kba",0
26760,220929254.067378,6250541.90926696,1986,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",FALSE,"19699","",0.0282920518409965
26760,220929254.067378,120367405.225038,1987,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",FALSE,"19699","",0.544823299807679
26760,220929254.067378,13473301.7720747,1988,FALSE,1,"19699","PER","Cordillera Central (Peru) - Central (nn)","PER",FALSE,"19699","",0.0609846886459214
