"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
14807,80594948.7711856,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14825,33511679.8055759,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14836,25317094.6784615,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14861,83295779.4713905,83295147.0382736,2006,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.999992407381012
14892,333170441.482936,309492746.452308,2001,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.928932185804843
14892,333170441.482936,71455.1794527333,2011,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.000214470344772146
14907,486177141.300427,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14910,1167286435.91713,288221669.653628,2011,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.246915976049335
14910,1167286435.91713,35170476.6913461,2016,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.030130116832646
14698,9699891.17649336,2435502.56327773,2016,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.25108555539055
14699,28537018.4642406,6012118.69500907,2013,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.210677885026524
14704,183122601.928153,106131.793731292,2017,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.000579566872760645
14712,33540243.1533034,2963496.2257131,2017,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.0883564323659718
14735,135386759.671489,370324.82462679,1988,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.0027353104950984
14735,135386759.671489,57600763.6680162,2016,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.425453447647186
14736,739704.779667032,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14738,15847209.879022,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14767,118714.559010175,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14773,28535958.7687469,28535933.4289829,1975,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",TRUE,"19701","",0.999999112005867
14775,370857.243845741,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14814,45867060.1673884,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14848,337398127.943351,314358277.738713,1988,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.931713165259452
14848,337398127.943351,18409390.5224887,2019,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.0545628116987644
14887,383145.684005009,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
14905,490271545.538303,62094809.0999062,2011,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.126653911827022
14915,21552426.7335212,1026803.15838967,2015,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",FALSE,"19701","",0.0476421133956414
24457,387215304.480889,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
24458,1193287654.50082,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",NA,NA,"no pas overlapping kba",0
25154,162627.101649322,162591.949163077,2002,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","PER",TRUE,"19701","",0.99978384607554
14647,3357563.90222514,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",NA,NA,"no pas overlapping kba",0
14545,19345902.0462978,1646245.87484366,2010,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",FALSE,"19701","",0.0850953277290422
14582,82238597.6105106,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",NA,NA,"no pas overlapping kba",0
14596,82989841.2128139,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",NA,NA,"no pas overlapping kba",0
14600,635995991.787035,378561215.427441,2010,FALSE,1,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",FALSE,"19701","",0.595225788080442
14648,19322860.9467039,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",NA,NA,"no pas overlapping kba",0
14649,80477425.1246148,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",NA,NA,"no pas overlapping kba",0
14650,129915507.556847,0,0,FALSE,0,"19701","PER;ECU","Cordillera Occidental (Peru) - Norte (nn)","ECU",NA,NA,"no pas overlapping kba",0
