"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
14421,193986502.41134,36421474.0706861,1943,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.187752619991343
14421,193986502.41134,108870915.402648,2018,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.56122933322336
14445,242397.769893557,0,0,FALSE,0,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",NA,NA,"no pas overlapping kba",0
14486,11929637.5009433,1135322.1299652,2011,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.0951682001968151
14487,4503442.65048024,4485986.36042704,1941,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.996123789862997
19092,283278265.74354,93728941.6521536,2005,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.330872336450299
19092,283278265.74354,228824.685491221,2017,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.000807773532821551
19092,283278265.74354,80528.2226590831,2018,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.000284272506567757
19130,53198267.9348347,5823073.89432079,1939,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.109459839960462
19130,53198267.9348347,30581387.4825059,1943,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.574856826541169
19130,53198267.9348347,1874801.21283605,1973,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.0352417716894955
19130,53198267.9348347,5.44032081961632e-05,2011,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",1.02264999046218e-12
19130,53198267.9348347,0.000180236995220184,2013,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",3.3880237499643e-12
19130,53198267.9348347,165910.121451601,2015,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.00311871284333605
19130,53198267.9348347,285639.714051545,2017,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.00536934237034634
21671,3559285.25478324,1767.04416855946,2008,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.000496460396419412
21671,3559285.25478324,15500.2213395422,2015,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.00435486909027922
19135,47159329.8952157,9213286.49895261,1943,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.195365085115158
19135,47159329.8952157,378318.433130078,2007,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.00802213335029719
19135,47159329.8952157,18571.1863619508,2008,FALSE,2,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.000393796654940062
19135,47159329.8952157,NA,2009,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",NA
19135,47159329.8952157,21568695.3774299,2014,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.457357969787819
26526,91301505.7984333,22269614.2249239,2011,FALSE,3,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.243912890923055
29819,795895823.12754,281443105.004887,1974,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.353618019879702
29819,795895823.12754,266597177.911952,1975,FALSE,2,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.334964916469013
25204,293850970.309812,996055.884198988,1974,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.00338966341730582
25204,293850970.309812,291250690.702675,1975,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.991151025962598
14484,1586046881.39374,214101173.316514,2008,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.13499044437348
14484,1586046881.39374,256575704.120191,2009,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.161770567522396
14484,1586046881.39374,21910932.3195636,2011,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.0138148074792779
14484,1586046881.39374,NA,2017,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",NA
14436,296183390.513286,271943136.95141,1974,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.918157957744127
14436,296183390.513286,8257034.12425652,1975,FALSE,2,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",FALSE,"19707","",0.0278781133200855
19104,4682295.85229439,310048.751715198,2015,FALSE,1,"19707","COL","Cordillera Occidental (Colombia) (nn)","COL",TRUE,"19707","",0.0662172492930514
