"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
14503,85532773.5405712,31988879.2185226,2009,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",0.373995579639998
14503,85532773.5405712,5009317.13440071,2010,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",0.0585660551744486
14409,10187176.006864,10158136.0390726,2008,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",0.997149360355435
14473,65293584.5315878,0,0,FALSE,0,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",NA,NA,"no pas overlapping kba",0
14492,1003292.57772586,0,0,FALSE,0,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",NA,NA,"no pas overlapping kba",0
19059,9961213.92629651,0,0,FALSE,0,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",NA,NA,"no pas overlapping kba",0
19131,109971913.478662,2901569.45436802,1994,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",0.0263846409740885
19131,109971913.478662,58532871.6215663,1999,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",0.532252915949522
19131,109971913.478662,628.330956774676,2002,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",5.71355846142109e-06
19131,109971913.478662,467667.429210275,2006,FALSE,8,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",0.00425260791066455
19131,109971913.478662,2.44392722379416e-05,2014,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",2.22231945092814e-13
26522,928284.573653053,388240.818478729,2017,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",TRUE,"19708","",0.41823469817116
26524,14959591.3665098,0,0,FALSE,0,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",NA,NA,"no pas overlapping kba",0
14504,1325606802.13526,102653163.52873,1993,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",TRUE,"19708","",0.0774386215907908
14504,1325606802.13526,1189362639.64383,2008,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",TRUE,"19708","",0.897221285925835
14504,1325606802.13526,627707.561723651,2012,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",TRUE,"19708","",0.000473524698811559
14504,1325606802.13526,NA,2017,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",TRUE,"19708","",NA
26825,112003053.949403,31356.4726328309,1999,FALSE,1,"19708","COL;VEN","Cordillera Oriental (Colombia) (nn)","COL",FALSE,"19708","",0.000279960871843693
