"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
14736,49368333.1147832,0,0,FALSE,0,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","PER",NA,NA,"no pas overlapping kba",0
19079,584540647.391247,3764704.24957074,1943,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",FALSE,"19711","",0.00644044903698704
19079,584540647.391247,254775131.972143,1971,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",FALSE,"19711","",0.435855287582107
19079,584540647.391247,NA,1977,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",FALSE,"19711","",NA
19079,584540647.391247,NA,2014,FALSE,4,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",FALSE,"19711","",NA
19079,584540647.391247,NA,2015,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",FALSE,"19711","",NA
32047,78450087.6737325,2368268.82541884,1996,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.0301882240752653
14533,579732287.074273,173683241.889605,2004,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",TRUE,"19711","",0.299592149276573
14517,424773808.280954,269113378.968929,1987,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.633545133251088
14520,121978006.430566,63204853.5626524,2017,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.518165982640735
14520,121978006.430566,58479441.4025159,2019,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.479426112245933
14636,94637624.9727011,5879503.65637603,2018,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.0621264920592842
