"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
24698,256327967.007849,245519115.757903,1990,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","CHL",FALSE,"19715","",0.95783194718813
24698,256327967.007849,8.09623545391588e-06,1996,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","CHL",FALSE,"19715","",3.15854549483005e-14
24698,256327967.007849,2131758.66340922,2009,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","CHL",FALSE,"19715","",0.00831652779949656
24704,8924801.63492948,0,0,FALSE,0,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","CHL",NA,NA,"no pas overlapping kba",0
14355,276698785.43027,274555671.515631,1973,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","BOL",TRUE,"19715","",0.992254704294036
14356,185615188.906865,183599923.050178,1973,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","BOL",TRUE,"19715","",0.989142775068383
19373,2780934041.77164,527521905.486302,2009,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",TRUE,"19715","",0.189692347090057
19374,45350455.9390059,0,0,FALSE,0,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",NA,NA,"no pas overlapping kba",0
19400,448571.772874355,0,0,FALSE,0,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",NA,NA,"no pas overlapping kba",0
19420,58067784.8900188,58067784.8900188,2009,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",FALSE,"19715","",1
19421,23935394.6369918,0,0,FALSE,0,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",NA,NA,"no pas overlapping kba",0
19422,423561.073577821,423561.073577821,2009,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",TRUE,"19715","",1
19423,28562607.7298311,28562607.7298311,2009,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",TRUE,"19715","",1
19424,54022843.649785,54022843.649785,2009,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",FALSE,"19715","",1
19450,1034872106.32156,36114939.4179749,1980,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",FALSE,"19715","",0.0348979735731257
19450,1034872106.32156,998623174.164862,1981,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",FALSE,"19715","",0.964972548844178
19459,330393839.345648,121722.46953083,1981,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",TRUE,"19715","",0.000368416280920685
19459,330393839.345648,302928065.745867,1992,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",TRUE,"19715","",0.916869595225572
19501,737419622.497396,733838958.096256,1980,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",TRUE,"19715","",0.995144332627042
19502,194411510.319553,0,0,FALSE,0,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",NA,NA,"no pas overlapping kba",0
19509,832941132.331716,755636522.360815,1980,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",FALSE,"19715","",0.907190788195924
47100,194810165.775017,0,0,FALSE,0,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","CHL",NA,NA,"no pas overlapping kba",0
26801,18400908.0503915,18400908.0503915,1980,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","ARG",FALSE,"19715","",1
24708,252062684.348306,134668410.129518,1994,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","CHL",TRUE,"19715","",0.534265555719584
24708,252062684.348306,117386303.880059,1996,FALSE,1,"19715","CHL;BOL;ARG","Puna de Atacama (nn)","CHL",TRUE,"19715","",0.465702823817635
