"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
6414,14433068.9574988,14433068.9574988,1948,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747","",1
6415,79118262.2239875,75236187.5107371,1948,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",TRUE,"19747","",0.95093326617488
6418,7276729.50251789,0,0,FALSE,0,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",NA,NA,"no pas overlapping kba",0
6424,18418642.6951562,2314112.29022925,1974,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747","",0.125639675438072
6440,224580479.259041,1057494.355462,1995,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",TRUE,"19747","",0.0047087545585039
6440,224580479.259041,26783640.5304839,2009,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",TRUE,"19747","",0.119260768428544
6440,224580479.259041,12953594.641155,2010,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",TRUE,"19747","",0.0576790764891624
6441,120908914.671041,61989650.4167087,1932,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",TRUE,"19747","",0.512697104141289
6442,3921270.71668866,3855024.00133236,1932,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",TRUE,"19747","",0.983105804178641
6972,92955452.4466404,92955452.4466404,1951,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",TRUE,"19747","",1
45611,129484081.556686,20798865.7036255,1962,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747","",0.160628746434132
46976,165185723.874939,8610981.06167853,1949,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747","",0.0521290875487389
46976,165185723.874939,2860419.65596581,1955,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747","",0.0173163853925501
46976,165185723.874939,88115090.2474193,1972,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747","",0.533430421106671
46976,165185723.874939,65599231.0384423,1974,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747","",0.39712409462277
