"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
1916,165051330.512818,37906550.0951649,1987,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.229665219767623
1916,165051330.512818,5716354.7158617,2000,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.0346337996676602
1916,165051330.512818,263290.122169858,2004,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.00159520145249245
1916,165051330.512818,281319.095212216,2005,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.00170443397419549
1916,165051330.512818,36867037.4394897,2006,TRUE,10,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.223367102373202
1916,165051330.512818,4351453.04023782,2007,TRUE,2,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.026364240910496
1916,165051330.512818,3282041.25037311,2009,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.0198849729970413
1916,165051330.512818,NA,2013,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",NA
1916,165051330.512818,19716.2114915294,2014,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.000119455029112887
1818,146823.525695451,70467.0994832963,2006,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.479944199333988
1818,146823.525695451,76356.4262121543,2007,TRUE,1,"20052","ESP","Sierra Grossa","ESP",TRUE,"20052","",0.520055800666012
1703,1082126.8280646,0,0,FALSE,0,"20052","ESP","Sierra Grossa","ESP",NA,NA,"no pas overlapping kba",0
