"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
462,30215002.2370764,1404838.82732151,1974,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",0.0464947451037303
462,30215002.2370764,117091.506145636,1994,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",0.00387527709668524
462,30215002.2370764,28427087.1312203,2000,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",0.940826908042978
24388,647701647.783541,50515.3333576918,1974,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",7.79916702860909e-05
24388,647701647.783541,1622.45178043097,1990,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",2.50493693505808e-06
24388,647701647.783541,3639284.61352186,1994,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",0.0056187669523084
24388,647701647.783541,643103803.668785,2000,FALSE,2,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",0.992901293164081
24389,19199589.953027,1214594.00398448,1990,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",0.0632614554246244
24389,19199589.953027,0.103483033342457,2007,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",5.38985642899846e-09
24389,19199589.953027,NA,2009,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",NA
24389,19199589.953027,11021639.5818911,2011,FALSE,1,"20188","ROU;SRB","Almăj Mountains","ROU",TRUE,"20188","",0.574055988115174
3133,4038744.49566007,3037999.8950089,1974,FALSE,1,"20188","ROU;SRB","Almăj Mountains","SRB",TRUE,"20188","",0.752213936354097
3133,4038744.49566007,488775.876382113,2000,FALSE,1,"20188","ROU;SRB","Almăj Mountains","SRB",TRUE,"20188","",0.121021737549216
3133,4038744.49566007,0.392430080938425,2007,FALSE,1,"20188","ROU;SRB","Almăj Mountains","SRB",TRUE,"20188","",9.71663548808597e-08
3133,4038744.49566007,0.0076770696206836,2009,FALSE,1,"20188","ROU;SRB","Almăj Mountains","SRB",TRUE,"20188","",1.90085548341401e-09
